#{"t_start": 1637834842.182595, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.685322
-500.0,500,9.58041
-281.0,282,14.59781
-291.0,292,16.640276
-336.0,337,19.670498
-273.0,274,21.659602
-197.0,198,23.259852
-146.0,147,24.474594
-165.0,166,25.987342
-120.0,121,27.386462
-159.0,160,28.155418
-133.0,134,29.459792
-93.0,94,30.492302
-218.0,219,32.219113
-99.0,100,32.710648
-115.0,116,34.141086
-144.0,145,35.323963
-111.0,112,36.624253
-97.0,98,37.08677
-130.0,131,38.535635
-89.0,90,38.963354
-108.0,109,39.471983
-101.0,102,41.027028
-93.0,94,41.49929
-104.0,105,42.680257
-92.0,93,43.109835
-105.0,106,43.595663
-97.0,98,44.735895
-80.0,81,45.541179
-83.0,84,45.928533
-96.0,97,47.139337
-75.0,76,47.529737
-80.0,81,47.924448
-105.0,106,49.276062
-79.0,80,49.662391
-90.0,91,50.094987
-83.0,84,51.829046
-72.0,73,52.168163
-74.0,75,52.514326
-121.0,122,53.768403
-89.0,90,54.182921
-79.0,80,54.566577
-72.0,73,55.598956
-81.0,82,56.428793
-62.0,63,56.727476
-98.0,99,57.863339
-87.0,88,58.270755
-99.0,100,58.739603
-89.0,90,59.843626
-84.0,85,60.235022
-75.0,76,60.991931
-90.0,91,62.111346
-89.0,90,62.526349
-88.0,89,63.652168
-105.0,106,64.14486
-91.0,92,64.581099
-88.0,89,65.704435
-77.0,78,66.49892
-63.0,64,66.792417
-121.0,122,68.040401
-99.0,100,68.514194
-76.0,77,68.872149
-79.0,80,69.938521
-80.0,81,70.315849
-71.0,72,71.233782
-85.0,86,72.350739
-79.0,80,72.720235
-94.0,95,73.162411
-92.0,93,74.277265
-104.0,105,74.755972
-74.0,75,75.100828
-95.0,96,76.626136
-192.0,193,77.513121
-72.0,73,78.559445
-123.0,124,79.165691
-61.0,62,79.511705
-91.0,92,80.733008
-96.0,97,81.635145
-88.0,89,82.766513
-63.0,64,83.081095
-93.0,94,83.537211
-75.0,76,83.888105
-79.0,80,84.953252
-70.0,71,85.287098
-75.0,76,85.651207
-70.0,71,87.086626
-82.0,83,87.466195
-75.0,76,87.813942
-83.0,84,88.884286
-80.0,81,89.256912
-63.0,64,89.550826
-88.0,89,90.643256
-108.0,109,91.146008
-63.0,64,91.823592
-61.0,62,92.109317
-77.0,78,93.150039
-89.0,90,93.561419
-78.0,79,93.924026
-88.0,89,95.012809
-76.0,77,95.369419
-136.0,137,97.066607
-72.0,73,97.402954
-97.0,98,97.852189
-89.0,90,98.948569
-72.0,73,99.286415
-88.0,89,99.696784
-61.0,62,99.982118
-77.0,78,101.023726
-62.0,63,101.74626
-72.0,73,102.083936
-81.0,82,103.142188
-63.0,64,103.436559
-74.0,75,103.781829
-70.0,71,104.108392
-78.0,79,105.155186
-79.0,80,105.529577
-82.0,83,106.27668
-80.0,81,107.337548
-80.0,81,107.712338
-171.0,172,109.193327
-90.0,91,109.610739
-80.0,81,109.98461
-74.0,75,111.023154
-85.0,86,111.778937
-72.0,73,112.116358
-76.0,77,113.158158
-62.0,63,113.449183
-70.0,71,113.776604
-167.0,168,115.236125
-254.0,255,117.455453
-73.0,74,117.794754
-92.0,93,118.219037
-71.0,72,119.224417
-71.0,72,119.555249
-71.0,72,119.887478
-84.0,85,120.961908
-75.0,76,121.671763
-92.0,93,122.099921
-70.0,71,123.110394
-147.0,148,123.800001
-61.0,62,124.089741
-75.0,76,125.223031
-85.0,86,125.63846
-74.0,75,126.374158
-70.0,71,127.41442
-114.0,115,127.988877
-60.0,61,128.302171
-63.0,64,128.621101
-70.0,71,129.708297
-78.0,79,130.111323
-96.0,97,130.594609
-116.0,117,132.422252
-76.0,77,132.81879
-71.0,72,133.152818
-90.0,91,134.309879
-78.0,79,134.708464
-63.0,64,135.029043
-88.0,89,136.119841
-81.0,82,136.857079
-71.0,72,137.187763
-70.0,71,138.255142
-70.0,71,138.609537
-78.0,79,139.007534
-61.0,62,139.334642
-78.0,79,140.542123
-63.0,64,140.838925
-72.0,73,141.174935
-63.0,64,142.563371
-128.0,129,143.175616
-69.0,70,143.512959
-71.0,72,144.674886
-72.0,73,145.036865
-69.0,70,145.390464
-84.0,85,146.46469
-79.0,80,146.831364
-70.0,71,147.537307
-61.0,62,147.822744
-73.0,74,148.83857
-76.0,77,149.191135
-61.0,62,149.48201
-90.0,91,150.589236
-92.0,93,151.016809
-76.0,77,151.370144
-71.0,72,152.121464
-273.0,274,154.725977
-73.0,74,155.068449
-103.0,104,155.549509
-61.0,62,155.833141
-62.0,63,156.802394
-87.0,88,157.58756
-76.0,77,157.941526
-72.0,73,159.106705
-71.0,72,159.481123
-99.0,100,159.979273
-80.0,81,161.061852
-72.0,73,161.398977
-63.0,64,161.694527
-69.0,70,162.395569
-79.0,80,163.484503
-90.0,91,163.90208
-75.0,76,164.250145
-76.0,77,165.287415
-61.0,62,165.577613
-62.0,63,165.868506
-96.0,97,167.006068
-74.0,75,167.772321
-77.0,78,168.130496
-68.0,69,168.444104
-76.0,77,169.472578
-73.0,74,169.813509
-80.0,81,170.187215
-70.0,71,171.18699
-75.0,76,171.532316
-88.0,89,172.353496
-86.0,87,173.469605
-73.0,74,173.812134
-96.0,97,174.292247
-79.0,80,175.427607
-69.0,70,175.754364
-62.0,63,176.078651
-73.0,74,176.491548
-63.0,64,178.46722
-79.0,80,178.949742
-95.0,96,179.483395
-78.0,79,180.731318
-85.0,86,181.220772
-85.0,86,181.685236
-71.0,72,182.934209
-87.0,88,183.395335
-70.0,71,184.172509
-69.0,70,184.546658
-71.0,72,185.773858
-77.0,78,186.200481
-79.0,80,186.613208
-87.0,88,187.881448
-71.0,72,188.260802
-88.0,89,188.720587
-77.0,78,190.788233
-71.0,72,191.302209
-93.0,94,191.909864
-81.0,82,193.331628
-98.0,99,193.867043
-78.0,79,194.284297
-77.0,78,195.529914
-75.0,76,196.418202
-87.0,88,196.905274
-81.0,82,198.135771
-70.0,71,198.505491
-63.0,64,198.839679
-77.0,78,199.24463
-82.0,83,200.52022
-76.0,77,200.91705
-77.0,78,201.894279
-141.0,142,203.431971
-92.0,93,203.916585
-71.0,72,205.10321
-70.0,71,205.475687
-73.0,74,205.85616
-87.0,88,206.313117
-82.0,83,208.081367
-103.0,104,208.623691
-62.0,63,208.952514
-74.0,75,210.170351
-87.0,88,210.633202
-86.0,87,211.090858
-70.0,71,212.26183
-71.0,72,212.637458
-105.0,106,213.616902
-62.0,63,214.748808
-73.0,74,215.138048
-97.0,98,215.660417
-62.0,63,216.849889
-131.0,132,217.543014
-70.0,71,217.915328
-159.0,160,219.987869
-82.0,83,220.424179
-85.0,86,221.673537
-101.0,102,222.208339
-162.0,163,223.860508
-62.0,63,224.192961
-71.0,72,224.979555
-71.0,72,225.38028
-89.0,90,226.783853
-71.0,72,227.15578
-76.0,77,227.553672
-61.0,62,228.732821
-62.0,63,229.066151
-71.0,72,229.439209
-71.0,72,229.813974
-70.0,71,231.452555
-72.0,73,231.904326
-70.0,71,232.348
-73.0,74,233.763628
-115.0,116,234.493654
-62.0,63,234.892159
-76.0,77,236.333261
-69.0,70,236.773072
-115.0,116,238.029838
-71.0,72,239.287178
-92.0,93,239.77278
-81.0,82,240.205235
-75.0,76,241.425187
-64.0,65,241.770622
-62.0,63,242.10015
-63.0,64,242.436732
-93.0,94,244.20686
-78.0,79,244.624653
-73.0,74,245.013337
-70.0,71,246.200891
-72.0,73,246.585078
-74.0,75,246.98337
-86.0,87,247.438813
-91.0,92,249.161472
-71.0,72,249.581303
-63.0,64,249.916048
-133.0,134,251.43766
-98.0,99,251.959052
-63.0,64,253.10657
-76.0,77,253.508022
-89.0,90,253.980753
