#{"t_start": 1637834842.1723554, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.693469
-500.0,500,9.588687
-500.0,500,15.619449
-340.0,341,18.754589
-252.0,253,21.228572
-185.0,186,22.112549
-141.0,142,23.453908
-167.0,168,25.455021
-114.0,115,26.04114
-135.0,136,27.517398
-131.0,132,28.145692
-128.0,129,29.427039
-113.0,114,30.552863
-137.0,138,31.900342
-132.0,133,32.526454
-111.0,112,33.939095
-244.0,245,36.383189
-107.0,108,36.891383
-110.0,111,37.492376
-127.0,128,38.856651
-98.0,99,39.318057
-107.0,108,40.902155
-90.0,91,41.356067
-106.0,107,41.855207
-106.0,107,43.042818
-105.0,106,43.531047
-88.0,89,44.629458
-64.0,65,44.932183
-117.0,118,45.905185
-106.0,107,47.164428
-86.0,87,47.602373
-109.0,110,48.985245
-84.0,85,49.390736
-93.0,94,49.845751
-72.0,73,51.466481
-105.0,106,52.024332
-78.0,79,52.387671
-82.0,83,53.462281
-84.0,85,53.855402
-81.0,82,54.23351
-79.0,80,55.308332
-72.0,73,55.649362
-93.0,94,56.536402
-197.0,198,58.134995
-88.0,89,58.555253
-75.0,76,59.594326
-79.0,80,59.962436
-83.0,84,60.358881
-85.0,86,61.849417
-88.0,89,62.262701
-96.0,97,62.711623
-84.0,85,63.822809
-62.0,63,64.111744
-86.0,87,64.523436
-62.0,63,64.815876
-82.0,83,65.916376
-82.0,83,66.726866
-100.0,101,67.879856
-68.0,69,68.197634
-82.0,83,68.593286
-128.0,129,69.886499
-74.0,75,70.23402
-75.0,76,70.586069
-95.0,96,72.335934
-93.0,94,72.770697
-62.0,63,73.064911
-93.0,94,74.184356
-260.0,261,76.065175
-73.0,74,76.806046
-71.0,72,77.135994
-94.0,95,78.258578
-78.0,79,78.650103
-71.0,72,78.986
-80.0,81,79.426283
-75.0,76,80.580425
-109.0,110,81.548184
-69.0,70,81.892968
-62.0,63,82.899736
-80.0,81,83.301359
-69.0,70,83.62865
-237.0,238,85.44177
-69.0,70,85.797663
-64.0,65,87.172513
-208.0,209,88.815482
-76.0,77,89.168874
-92.0,93,89.595866
-73.0,74,89.935601
-72.0,73,90.95663
-72.0,73,91.673857
-77.0,78,92.035275
-73.0,74,93.057773
-83.0,84,93.442633
-75.0,76,93.790798
-88.0,89,94.879663
-84.0,85,95.2699
-85.0,86,95.666342
-78.0,79,97.098642
-90.0,91,97.51638
-68.0,69,97.832908
-81.0,82,98.89288
-87.0,88,99.300055
-74.0,75,99.644828
-71.0,72,99.976667
-69.0,70,100.982102
-95.0,96,101.858422
-76.0,77,102.212135
-93.0,94,103.325949
-81.0,82,103.701283
-99.0,100,104.163327
-71.0,72,105.177775
-95.0,96,105.625528
-80.0,81,106.367145
-80.0,81,107.425106
-71.0,72,107.758058
-98.0,99,108.219863
-91.0,92,109.3266
-75.0,76,109.674105
-80.0,81,110.048389
-96.0,97,111.547961
-82.0,83,111.930261
-87.0,88,112.337268
-72.0,73,113.361205
-69.0,70,113.682666
-73.0,74,114.025092
-92.0,93,115.139062
-63.0,64,115.447632
-78.0,79,116.166258
-87.0,88,117.248355
-70.0,71,117.573953
-95.0,96,118.013434
-69.0,70,119.008662
-69.0,70,119.330586
-71.0,72,119.660083
-89.0,90,120.077877
-71.0,72,121.451974
-76.0,77,121.805312
-83.0,84,122.191277
-85.0,86,123.27029
-82.0,83,123.65994
-68.0,69,123.98029
-138.0,139,125.4264
-71.0,72,125.757196
-71.0,72,126.483744
-89.0,90,127.644708
-70.0,71,127.978796
-86.0,87,128.416439
-84.0,85,129.584894
-62.0,63,129.899965
-70.0,71,130.244298
-76.0,77,130.647436
-69.0,70,132.2155
-71.0,72,132.59898
-79.0,80,132.99042
-63.0,64,134.012037
-70.0,71,134.360203
-76.0,77,134.740143
-75.0,76,135.117355
-62.0,63,136.087485
-70.0,71,136.773368
-77.0,78,137.132546
-71.0,72,138.20412
-71.0,72,138.542074
-97.0,98,139.054035
-70.0,71,140.237256
-62.0,63,140.550692
-70.0,71,140.879992
-73.0,74,141.220292
-71.0,72,142.645401
-79.0,80,143.030316
-80.0,81,143.4096
-82.0,83,144.628619
-78.0,79,145.020058
-194.0,195,146.633469
-86.0,87,147.414211
-63.0,64,147.705887
-71.0,72,148.712756
-85.0,86,149.107943
-71.0,72,149.444066
-90.0,91,149.861792
-71.0,72,150.883427
-85.0,86,151.277966
-77.0,78,152.05617
-93.0,94,153.163037
-76.0,77,153.515482
-89.0,90,153.930517
-95.0,96,155.041876
-75.0,76,155.399029
-75.0,76,155.74527
-70.0,71,156.750064
-89.0,90,157.545826
-79.0,80,157.913509
-77.0,78,159.100951
-86.0,87,159.548504
-80.0,81,159.953063
-87.0,88,161.070404
-71.0,72,161.402975
-61.0,62,161.688565
-63.0,64,162.361405
-76.0,77,163.438375
-81.0,82,163.813378
-74.0,75,164.158561
-81.0,82,165.210498
-74.0,75,165.567543
-62.0,63,165.858835
-73.0,74,166.201088
-91.0,92,167.734603
-70.0,71,168.060566
-78.0,79,168.420717
-76.0,77,169.449387
-74.0,75,169.794089
-63.0,64,170.09076
-71.0,72,171.09523
-72.0,73,171.4275
-75.0,76,172.187788
-75.0,76,172.535738
-153.0,154,173.987048
-91.0,92,174.428442
-90.0,91,175.607816
-66.0,67,175.937178
-73.0,74,176.344144
-91.0,92,178.470851
-82.0,83,178.970157
-71.0,72,179.37701
-70.0,71,180.585983
-73.0,74,180.997359
-63.0,64,181.343822
-70.0,71,181.729913
-85.0,86,183.051258
-87.0,88,183.920112
-75.0,76,184.31556
-76.0,77,185.532526
-80.0,81,186.015634
-77.0,78,186.426126
-81.0,82,187.665251
-86.0,87,188.118221
-61.0,62,188.439326
-76.0,77,189.386858
-76.0,77,190.937531
-78.0,79,191.502347
-91.0,92,192.062755
-83.0,84,193.488807
-61.0,62,193.820374
-60.0,61,194.143015
-115.0,116,195.590726
-64.0,65,196.421602
-228.0,229,198.447707
-82.0,83,198.880168
-63.0,64,199.212622
-91.0,92,200.533741
-69.0,70,200.895168
-70.0,71,201.826183
-82.0,83,203.066896
-97.0,98,203.576828
-77.0,78,203.983527
-64.0,65,205.13138
-79.0,80,205.550863
-96.0,97,206.049808
-71.0,72,207.288504
-71.0,72,208.136734
-86.0,87,208.590158
-63.0,64,208.925137
-70.0,71,210.122139
-88.0,89,210.589675
-109.0,110,211.16813
-78.0,79,212.380891
-84.0,85,212.825543
-97.0,98,214.564301
-72.0,73,214.947699
-77.0,78,215.366184
-96.0,97,215.875526
-83.0,84,217.174552
-75.0,76,217.574042
-73.0,74,217.959689
-82.0,83,219.63356
-96.0,97,220.14063
-71.0,72,220.516156
-204.0,205,222.389151
-75.0,76,222.783129
-71.0,72,223.963719
-88.0,89,224.841595
-89.0,90,225.325316
-138.0,139,226.992431
-63.0,64,227.324921
-93.0,94,228.669163
-72.0,73,229.052464
-70.0,71,229.422577
-63.0,64,229.755449
-108.0,109,231.609849
-62.0,63,232.006474
-75.0,76,232.481518
-85.0,86,233.973899
-113.0,114,234.690937
-75.0,76,235.170516
-62.0,63,236.52214
-62.0,63,237.447328
-90.0,91,238.01977
-63.0,64,239.236294
-85.0,86,239.686947
-70.0,71,240.06131
-63.0,64,240.401256
-82.0,83,241.657729
-70.0,71,242.03024
-82.0,83,242.466087
-86.0,87,244.198787
-63.0,64,244.537133
-89.0,90,245.010401
-87.0,88,246.290786
-70.0,71,246.663072
-100.0,101,247.196143
-70.0,71,248.3777
-179.0,180,249.793085
-70.0,71,250.98089
-83.0,84,251.424654
-63.0,64,251.760692
-72.0,73,252.149343
-76.0,77,253.36007
-88.0,89,253.826465
-64.0,65,254.56543
-87.0,88,255.861974
-100.0,101,256.400519
-76.0,77,256.807636
-240.0,241,258.887622
-63.0,64,260.033143
-81.0,82,261.059876
-63.0,64,261.39794
-92.0,93,261.88369
