#{"t_start": 1637834842.1668808, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.697777
-500.0,500,9.593027
-474.0,475,15.509014
-366.0,367,18.764176
-223.0,224,21.105639
-167.0,168,21.90468
-168.0,169,23.369401
-148.0,149,24.59739
-143.0,144,26.000528
-135.0,136,27.477677
-148.0,149,28.187261
-129.0,130,29.472858
-123.0,124,30.644964
-95.0,96,31.795237
-130.0,131,32.414575
-112.0,113,33.029457
-110.0,111,34.386826
-123.0,124,35.454236
-110.0,111,36.750103
-94.0,95,37.207484
-89.0,90,38.438293
-124.0,125,39.047013
-112.0,113,39.573232
-99.0,100,41.11999
-116.0,117,41.696357
-75.0,76,42.743556
-98.0,99,43.200713
-96.0,97,43.645586
-89.0,90,44.749072
-94.0,95,45.618356
-95.0,96,46.064008
-80.0,81,47.205491
-103.0,104,47.719229
-95.0,96,49.041308
-85.0,86,49.447419
-154.0,155,51.463182
-96.0,97,51.981165
-84.0,85,52.373776
-80.0,81,53.439284
-97.0,98,53.892622
-84.0,85,54.287854
-82.0,83,55.374736
-94.0,95,56.265974
-149.0,150,57.645327
-96.0,97,58.093457
-99.0,100,58.565775
-75.0,76,59.603575
-71.0,72,59.934552
-168.0,169,61.815919
-65.0,66,62.124527
-101.0,102,62.595897
-98.0,99,63.770287
-75.0,76,64.121035
-114.0,115,64.662383
-98.0,99,65.838034
-72.0,73,66.604275
-63.0,64,66.898087
-62.0,63,67.87443
-94.0,95,68.314237
-70.0,71,68.652604
-85.0,86,69.05271
-75.0,76,70.100291
-77.0,78,70.462279
-91.0,92,71.493941
-500.0,500,75.18257
-62.0,63,76.156615
-79.0,80,76.925363
-78.0,79,77.288294
-70.0,71,78.31251
-213.0,214,79.363181
-91.0,92,80.616816
-81.0,82,81.052845
-88.0,89,81.882895
-76.0,77,82.957771
-106.0,107,83.481599
-83.0,84,83.869196
-95.0,96,85.007714
-79.0,80,85.392646
-79.0,80,85.792759
-78.0,79,87.236649
-85.0,86,87.629279
-70.0,71,87.954897
-83.0,84,89.025144
-71.0,72,89.358865
-77.0,78,89.714628
-62.0,63,90.688777
-84.0,85,91.080377
-74.0,75,91.809288
-76.0,77,92.164007
-63.0,64,93.140374
-72.0,73,93.47452
-73.0,74,93.814175
-70.0,71,94.820352
-70.0,71,95.146276
-69.0,70,95.469684
-89.0,90,96.269419
-73.0,74,97.29234
-70.0,71,97.617136
-73.0,74,97.957083
-75.0,76,98.989371
-93.0,94,99.425018
-71.0,72,99.755741
-60.0,61,100.721044
-75.0,76,101.069373
-95.0,96,101.945409
-71.0,72,102.277379
-92.0,93,103.385621
-106.0,107,103.877487
-79.0,80,104.929199
-75.0,76,105.279486
-91.0,92,105.708188
-82.0,83,107.141867
-127.0,128,107.734823
-76.0,77,108.094233
-79.0,80,109.14661
-63.0,64,109.440743
-88.0,89,109.850939
-61.0,62,110.137685
-78.0,79,111.552447
-88.0,89,111.962364
-82.0,83,112.346579
-83.0,84,113.420877
-88.0,89,113.832692
-70.0,71,114.159668
-80.0,81,115.217419
-75.0,76,115.579707
-92.0,93,116.365422
-82.0,83,117.423244
-84.0,85,117.812752
-95.0,96,118.250687
-69.0,70,119.24692
-80.0,81,119.618853
-86.0,87,120.019663
-81.0,82,121.442771
-97.0,98,121.893012
-72.0,73,122.22808
-71.0,72,123.242078
-92.0,93,123.678556
-80.0,81,124.05674
-87.0,88,125.246466
-63.0,64,125.559665
-88.0,89,126.348742
-70.0,71,127.396157
-78.0,79,127.808777
-62.0,63,128.1089
-85.0,86,128.54403
-63.0,64,129.603742
-74.0,75,129.983001
-71.0,72,130.326331
-71.0,72,131.48476
-71.0,72,132.29214
-91.0,92,132.774969
-101.0,102,133.974643
-72.0,73,134.322989
-86.0,87,134.758448
-74.0,75,135.131288
-91.0,92,136.233126
-69.0,70,136.916088
-85.0,86,137.310805
-78.0,79,138.414815
-83.0,84,138.849002
-71.0,72,139.214724
-76.0,77,140.434146
-70.0,71,140.763709
-76.0,77,141.119062
-70.0,71,142.539684
-85.0,86,142.94818
-63.0,64,143.250705
-72.0,73,143.603724
-75.0,76,144.789421
-79.0,80,145.188729
-70.0,71,145.531563
-62.0,63,146.50527
-91.0,92,147.309717
-79.0,80,147.673654
-84.0,85,148.74009
-92.0,93,149.167395
-63.0,64,149.467118
-77.0,78,149.825269
-70.0,71,150.841675
-69.0,70,151.163473
-70.0,71,151.488647
-86.0,87,152.983791
-82.0,83,153.364574
-69.0,70,153.685329
-82.0,83,154.739128
-72.0,73,155.076946
-73.0,74,155.422185
-62.0,63,155.708281
-70.0,71,156.713483
-77.0,78,157.453966
-72.0,73,157.789497
-61.0,62,158.077967
-92.0,93,159.360598
-63.0,64,159.681142
-76.0,77,160.063178
-79.0,80,161.139126
-85.0,86,161.535613
-85.0,86,162.309687
-71.0,72,163.364331
-74.0,75,163.707345
-83.0,84,164.094659
-70.0,71,165.095688
-96.0,97,165.553595
-133.0,134,166.172709
-72.0,73,167.621261
-332.0,333,169.822099
-62.0,63,170.113759
-72.0,73,171.12283
-62.0,63,171.409171
-72.0,73,172.155295
-71.0,72,172.485129
-71.0,72,173.533053
-70.0,71,173.86902
-69.0,70,174.214621
-74.0,75,175.327177
-100.0,101,175.802022
-123.0,124,176.471786
-70.0,71,178.485275
-76.0,77,178.950339
-177.0,178,180.749414
-71.0,72,181.162043
-90.0,91,181.656063
-68.0,69,182.886781
-70.0,71,183.257476
-73.0,74,184.054065
-82.0,83,184.493174
-94.0,95,185.85509
-83.0,84,186.303325
-79.0,80,186.725497
-73.0,74,187.912523
-78.0,79,188.325293
-85.0,86,189.310804
-76.0,77,190.839942
-103.0,104,191.576732
-70.0,71,192.008668
-80.0,81,193.421378
-71.0,72,193.808619
-85.0,86,194.261972
-64.0,65,195.444852
-83.0,84,196.371455
-63.0,64,196.736044
-83.0,84,197.172604
-71.0,72,198.353068
-75.0,76,198.746489
-64.0,65,199.085988
-70.0,71,200.287747
-84.0,85,200.737961
-92.0,93,201.773761
-75.0,76,202.986443
-62.0,63,203.316421
-85.0,86,203.76096
-152.0,153,205.372649
-76.0,77,205.770109
-91.0,92,206.244617
-86.0,87,208.035546
-500.0,500,212.280379
-63.0,64,212.6136
-77.0,78,213.446472
-71.0,72,214.627661
-71.0,72,215.002834
-62.0,63,215.343769
-82.0,83,215.780047
-63.0,64,216.973429
-162.0,163,217.830592
-70.0,71,218.997788
-69.0,70,219.802985
-71.0,72,220.183532
-72.0,73,220.561853
-95.0,96,221.864498
-63.0,64,222.200226
-164.0,165,223.862494
-91.0,92,224.346728
-92.0,93,225.241781
-75.0,76,226.596369
-87.0,88,227.053696
-63.0,64,227.385668
-82.0,83,228.673563
-73.0,74,229.062124
-76.0,77,229.46345
-71.0,72,229.836818
-86.0,87,231.570154
-81.0,82,232.086186
-81.0,82,232.59772
-109.0,110,234.241956
-76.0,77,234.726547
-71.0,72,235.181609
-70.0,71,236.584982
-64.0,65,237.520721
-75.0,76,237.998025
-86.0,87,239.341517
-77.0,78,239.747689
-77.0,78,240.160763
-71.0,72,241.359524
-75.0,76,241.761863
-70.0,71,242.136133
-62.0,63,242.465088
-71.0,72,244.119965
-82.0,83,244.558613
-82.0,83,244.995061
-74.0,75,246.203407
-75.0,76,246.60316
-63.0,64,246.944587
-149.0,150,248.538603
-93.0,94,249.496043
-108.0,109,250.079776
-70.0,71,251.266844
-90.0,91,251.744749
-72.0,73,252.131184
-73.0,74,253.328626
-62.0,63,253.656624
-71.0,72,254.035613
-63.0,64,254.778494
-71.0,72,255.980604
-82.0,83,256.426758
-75.0,76,256.829347
-75.0,76,258.037835
-63.0,64,258.373043
-88.0,89,258.843544
-75.0,76,260.054255
-83.0,84,261.091391
-108.0,109,261.662458
-123.0,124,263.160249
-71.0,72,263.535632
-71.0,72,263.910865
-64.0,65,265.060378
-63.0,64,265.402396
-71.0,72,266.231148
-62.0,63,266.566861
-71.0,72,267.751514
-75.0,76,268.153013
-63.0,64,268.488313
-72.0,73,269.680149
-71.0,72,270.092366
-63.0,64,270.444672
-64.0,65,270.85217
-75.0,76,272.713896
-64.0,65,273.12277
-75.0,76,273.596835
-72.0,73,274.054126
-188.0,189,276.187733
-61.0,62,276.574516
-69.0,70,277.757098
-71.0,72,278.133136
-79.0,80,279.007023
-63.0,64,280.156054
-102.0,103,280.69616
-94.0,95,281.229259
-89.0,90,282.524677
-91.0,92,283.017906
-79.0,80,283.435229
-83.0,84,285.325163
-75.0,76,285.72404
-90.0,91,286.20403
-79.0,80,287.55516
-71.0,72,288.005011
-200.0,201,290.101741
-92.0,93,291.120995
-70.0,71,291.49279
-93.0,94,292.796536
-75.0,76,293.197079
-173.0,174,294.934346
-358.0,359,298.113246
-62.0,63,298.443219
-73.0,74,299.64468
-73.0,74,300.03356
-62.0,63,300.389976
-82.0,83,300.826637
-88.0,89,302.551064
-62.0,63,302.890845
-69.0,70,303.257225
-71.0,72,304.453636
-70.0,71,304.827511
-88.0,89,305.306123
-71.0,72,306.49902
-70.0,71,306.879638
-72.0,73,307.261626
-278.0,279,310.048655
-72.0,73,310.435105
-63.0,64,311.582691
-71.0,72,311.96538
-69.0,70,312.33214
-87.0,88,313.602184
-70.0,71,314.421175
-89.0,90,314.896566
-82.0,83,316.151689
-71.0,72,316.524737
-341.0,342,319.691048
-74.0,75,320.08865
-72.0,73,321.292021
-69.0,70,321.659977
-61.0,62,321.987551
-73.0,74,323.191683
-77.0,78,323.596703
-75.0,76,323.994233
-63.0,64,324.328259
-143.0,144,326.469495
-70.0,71,326.836627
-88.0,89,328.117058
-74.0,75,328.509162
-80.0,81,328.93181
-69.0,70,329.32077
-61.0,62,330.489978
-69.0,70,331.276333
-70.0,71,331.661724
-87.0,88,332.924231
-75.0,76,333.314003
-170.0,171,335.005887
-63.0,64,335.339304
-70.0,71,335.704191
-70.0,71,336.07233
-72.0,73,337.732936
-62.0,63,338.056639
-88.0,89,338.516082
-70.0,71,339.702865
-75.0,76,340.143367
-88.0,89,340.603767
-75.0,76,340.996315
-69.0,70,342.165213
-71.0,72,343.007604
-78.0,79,343.414165
-63.0,64,344.554001
-70.0,71,344.91821
-73.0,74,345.312545
-71.0,72,345.683039
-62.0,63,346.829459
-93.0,94,347.316059
-70.0,71,348.080009
-70.0,71,349.454173
-70.0,71,349.821779
-69.0,70,350.186525
-62.0,63,350.515504
-108.0,109,351.956383
-71.0,72,352.340082
-86.0,87,352.788181
-71.0,72,353.969781
-74.0,75,354.857072
-61.0,62,355.178847
-144.0,145,356.739347
-69.0,70,357.10463
-61.0,62,357.431629
-74.0,75,358.659881
-62.0,63,359.003297
-62.0,63,359.336593
-71.0,72,360.14594
-63.0,64,361.293275
-81.0,82,361.73838
-70.0,71,362.111897
-88.0,89,363.378064
-79.0,80,363.789546
-63.0,64,364.121254
-75.0,76,364.513751
-62.0,63,366.075204
-70.0,71,366.441736
-61.0,62,366.758784
-89.0,90,368.029828
-82.0,83,368.455623
-88.0,89,368.915216
-86.0,87,370.171563
-92.0,93,370.65209
-62.0,63,371.544673
-85.0,86,372.802833
-74.0,75,373.191792
-76.0,77,373.591328
-71.0,72,373.966668
-70.0,71,375.132897
-71.0,72,375.503204
-119.0,120,376.138578
-72.0,73,377.826351
-70.0,71,378.215208
-71.0,72,378.585804
-83.0,84,379.820548
-62.0,63,380.149774
-62.0,63,380.47758
-73.0,74,380.856616
-75.0,76,382.043565
-74.0,75,382.94506
-71.0,72,383.316354
-71.0,72,384.489118
-73.0,74,384.873107
-62.0,63,385.198681
-93.0,94,385.691997
-70.0,71,386.93876
-72.0,73,387.318188
-75.0,76,387.714652
-89.0,90,389.443225
-82.0,83,389.877788
-134.0,135,391.409652
-63.0,64,391.745896
-70.0,71,392.120343
-81.0,82,392.550874
-70.0,71,393.77636
-95.0,96,394.704293
-70.0,71,395.123219
-70.0,71,396.51011
-70.0,71,396.954585
-61.0,62,397.344303
-70.0,71,397.786889
-77.0,78,399.129095
-248.0,249,401.606394
-72.0,73,401.986848
-86.0,87,402.434724
-63.0,64,403.550546
-75.0,76,403.938722
-73.0,74,404.319113
-63.0,64,404.676419
-71.0,72,405.848576
-70.0,71,406.592063
-63.0,64,406.921739
-71.0,72,407.290395
-65.0,66,408.422595
-93.0,94,408.911543
-76.0,77,409.331844
-69.0,70,410.487273
-70.0,71,410.855603
-99.0,100,411.790892
-62.0,63,412.907495
-71.0,72,413.277677
