#{"t_start": 1637834842.1737804, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.692327
-500.0,500,9.587543
-485.0,486,15.554067
-311.0,312,18.52244
-194.0,195,20.051982
-242.0,243,21.908307
-201.0,202,23.526482
-183.0,184,25.612872
-167.0,168,26.448695
-148.0,149,27.988067
-130.0,131,28.591979
-112.0,113,30.398167
-144.0,145,31.072707
-121.0,122,32.351734
-128.0,129,33.0442
-106.0,107,34.381304
-105.0,106,35.364067
-128.0,129,36.744408
-69.0,70,37.075151
-106.0,107,38.391486
-102.0,103,38.901637
-113.0,114,39.433464
-109.0,110,41.025019
-87.0,88,41.469998
-106.0,107,42.66029
-143.0,144,43.323854
-168.0,169,44.790809
-78.0,79,45.585254
-82.0,83,45.968511
-111.0,112,47.263406
-103.0,104,47.775415
-89.0,90,49.06417
-90.0,91,49.498208
-85.0,86,49.909743
-86.0,87,51.645489
-109.0,110,52.170781
-92.0,93,52.601995
-81.0,82,53.66869
-99.0,100,54.131298
-75.0,76,54.484862
-74.0,75,55.53594
-110.0,111,56.501058
-94.0,95,57.625686
-101.0,102,58.097196
-79.0,80,58.466355
-85.0,86,59.560417
-96.0,97,60.007077
-63.0,64,60.310597
-89.0,90,61.819971
-74.0,75,62.169422
-74.0,75,62.515321
-107.0,108,63.731734
-80.0,81,64.105866
-86.0,87,64.517429
-71.0,72,64.851999
-73.0,74,65.910531
-113.0,114,66.864662
-75.0,76,67.90167
-138.0,139,68.554114
-218.0,219,70.267497
-96.0,97,71.307634
-72.0,73,72.358131
-93.0,94,72.793888
-161.0,162,74.228892
-87.0,88,74.63117
-106.0,107,75.122117
-63.0,64,76.100856
-78.0,79,76.865055
-74.0,75,77.208323
-95.0,96,78.348226
-89.0,90,78.778188
-78.0,79,79.173039
-95.0,96,80.445779
-88.0,89,80.910804
-89.0,90,81.760944
-86.0,87,82.883261
-92.0,93,83.343488
-220.0,221,85.061891
-81.0,82,85.460044
-74.0,75,85.857493
-97.0,98,87.364896
-62.0,63,87.651015
-96.0,97,88.780519
-88.0,89,89.190628
-132.0,133,89.802176
-95.0,96,90.927632
-82.0,83,91.691091
-87.0,88,92.098402
-85.0,86,93.175681
