#{"t_start": 1637834842.1696055, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.695629
-500.0,500,9.590874
-320.0,321,14.789059
-332.0,333,17.034715
-295.0,296,19.860065
-248.0,249,21.73453
-285.0,286,23.766061
-125.0,126,25.561094
-139.0,140,26.271281
-118.0,119,27.66608
-185.0,186,28.532054
-117.0,118,30.35935
-162.0,163,31.823484
-136.0,137,32.468678
-140.0,141,34.023959
-103.0,104,34.556174
-127.0,128,36.399626
-126.0,127,36.996556
-139.0,140,38.476507
-106.0,107,38.998022
-123.0,124,39.575645
-98.0,99,41.117793
-150.0,151,41.852767
-114.0,115,43.078957
-90.0,91,43.496839
-70.0,71,44.511978
-93.0,94,44.948292
-73.0,74,45.716592
-90.0,91,46.887831
-89.0,90,47.340576
-79.0,80,47.727379
-82.0,83,48.982754
-84.0,85,49.388113
-92.0,93,49.838592
-79.0,80,51.500851
-107.0,108,52.059116
-97.0,98,52.510785
-74.0,75,53.548594
-74.0,75,53.894985
-79.0,80,54.263376
-65.0,66,54.582391
-93.0,94,55.711981
-65.0,66,56.467607
-106.0,107,57.647885
-96.0,97,58.095826
-75.0,76,58.446721
-93.0,94,59.577963
-61.0,62,59.863769
-90.0,91,60.290978
-74.0,75,61.035044
-115.0,116,62.269964
-83.0,84,62.65874
-86.0,87,63.777995
-78.0,79,64.141738
-76.0,77,64.506987
-83.0,84,65.599458
-80.0,81,66.419682
-72.0,73,66.752235
-76.0,77,67.108244
-69.0,70,68.117127
-72.0,73,68.463502
-82.0,83,68.85002
-71.0,72,69.879452
-77.0,78,70.24117
-88.0,89,71.2387
-72.0,73,72.296115
-87.0,88,72.703365
-89.0,90,73.122697
-73.0,74,74.149816
-91.0,92,74.570638
-90.0,91,74.987288
-154.0,155,76.783773
-93.0,94,77.216509
-92.0,93,78.342605
-88.0,89,78.767327
-77.0,78,79.154141
-72.0,73,80.313317
-79.0,80,80.718277
-91.0,92,81.594856
-73.0,74,81.963627
-93.0,94,83.116947
-70.0,71,83.465332
-61.0,62,83.750302
-61.0,62,84.733675
-78.0,79,85.097899
-83.0,84,85.506348
-80.0,81,86.609746
-70.0,71,87.313736
-63.0,64,87.604216
-111.0,112,88.803634
-87.0,88,89.207886
-63.0,64,89.502677
-88.0,89,89.910564
-62.0,63,90.885515
-89.0,90,91.680852
-78.0,79,92.046731
-81.0,82,93.10626
-80.0,81,93.476896
-63.0,64,93.768531
-69.0,70,94.770783
-99.0,100,95.230445
-85.0,86,95.62717
-79.0,80,97.063342
-79.0,80,97.432202
-89.0,90,97.844589
-79.0,80,98.895094
-84.0,85,99.287445
-71.0,72,99.619579
-83.0,84,100.006981
-77.0,78,101.048728
-85.0,86,101.879117
-69.0,70,102.200255
-80.0,81,103.253447
-87.0,88,103.657453
-67.0,68,103.970597
-71.0,72,104.986495
-72.0,73,105.330651
-92.0,93,105.756338
-90.0,91,107.226866
-71.0,72,107.560921
-76.0,77,107.920256
-85.0,86,109.001645
-70.0,71,109.328829
-78.0,79,109.690299
-62.0,63,109.981577
-77.0,78,111.033798
-93.0,94,111.827224
-88.0,89,112.236832
-91.0,92,113.349648
-80.0,81,113.721991
-82.0,83,114.107139
-72.0,73,115.127529
-91.0,92,115.563696
-129.0,130,117.196125
-79.0,80,117.562469
-209.0,210,119.198676
-77.0,78,119.556768
-144.0,145,120.908948
-72.0,73,121.605355
-84.0,85,121.995307
-87.0,88,122.400071
-89.0,90,123.505428
-75.0,76,123.856821
-75.0,76,124.226887
-79.0,80,125.381558
-63.0,64,125.67695
-82.0,83,126.453359
-93.0,94,127.631116
-80.0,81,128.013863
-71.0,72,128.377456
-93.0,94,129.5921
-76.0,77,129.980822
-88.0,89,130.414672
-77.0,78,132.034478
-85.0,86,132.482762
-71.0,72,132.853024
-195.0,196,134.520336
-81.0,82,134.923544
-81.0,82,135.993673
-84.0,85,136.38278
-78.0,79,137.107385
-77.0,78,138.206342
-71.0,72,138.544151
-191.0,192,140.367587
-75.0,76,140.720173
-62.0,63,141.009924
-69.0,70,141.742318
-70.0,71,142.754193
-70.0,71,143.098674
-63.0,64,143.398094
-138.0,139,144.892546
-72.0,73,145.266186
-65.0,66,145.577941
-77.0,78,146.617331
-62.0,63,147.288756
-75.0,76,147.635029
-70.0,71,147.962631
-82.0,83,149.018533
-71.0,72,149.351698
-89.0,90,149.767123
-87.0,88,150.86253
-93.0,94,151.294067
-80.0,81,152.086544
-97.0,98,153.210812
-77.0,78,153.568557
-78.0,79,153.932736
-87.0,88,155.007528
-64.0,65,155.31442
-96.0,97,155.756777
-75.0,76,156.785716
-88.0,89,157.575536
-100.0,101,158.041206
