#{"t_start": 1637834842.164129, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.699951
-500.0,500,9.595186
-390.0,391,15.116633
-224.0,225,16.860755
-258.0,259,18.929721
-209.0,210,21.194152
-207.0,208,22.178511
-118.0,119,23.414604
-161.0,162,25.384929
-177.0,178,26.280849
-154.0,155,27.848107
-108.0,109,28.352288
-98.0,99,29.493672
-96.0,97,30.541296
-132.0,133,31.865078
-145.0,146,32.551526
-112.0,113,33.972097
-115.0,116,34.565425
-81.0,82,35.41913
-97.0,98,36.654146
-104.0,105,37.154058
-129.0,130,38.595797
-110.0,111,39.118926
-101.0,102,39.594079
-132.0,133,41.302319
-119.0,120,41.885007
-83.0,84,42.966761
-131.0,132,43.574483
-87.0,88,44.668403
-372.0,373,47.623145
-73.0,74,47.990015
-98.0,99,49.306231
-69.0,70,49.645383
-78.0,79,50.019408
-86.0,87,51.767233
-91.0,92,52.197501
-80.0,81,52.573217
-107.0,108,53.760613
-284.0,285,56.236227
-101.0,102,56.71519
-80.0,81,57.768165
-92.0,93,58.196984
-84.0,85,58.600067
-117.0,118,59.831586
-70.0,71,60.158952
-92.0,93,60.993581
-89.0,90,62.108248
-85.0,86,62.504866
-94.0,95,62.946349
-74.0,75,64.008214
-90.0,91,64.437287
-86.0,87,64.841451
-72.0,73,65.89553
-105.0,106,66.812714
-82.0,83,67.881765
-87.0,88,68.288933
-63.0,64,68.594296
-78.0,79,68.961927
-100.0,101,70.125537
-74.0,75,70.473924
-72.0,73,71.408217
-78.0,79,72.481786
-87.0,88,72.892312
-96.0,97,73.338911
-117.0,118,74.566032
-93.0,94,74.996532
-62.0,63,75.287319
-71.0,72,76.701003
-77.0,78,77.059541
-88.0,89,77.469223
-105.0,106,78.671222
-80.0,81,79.059605
-84.0,85,79.526471
-62.0,63,80.603869
-64.0,65,80.947115
-74.0,75,81.719454
-77.0,78,82.797029
-61.0,62,83.101656
-70.0,71,83.451394
-70.0,71,83.777991
-78.0,79,84.840954
-78.0,79,85.203033
-72.0,73,85.56159
-90.0,91,87.088295
-96.0,97,87.531563
-87.0,88,87.934299
-75.0,76,88.967816
-70.0,71,89.296474
-80.0,81,89.666652
-70.0,71,90.677281
-96.0,97,91.124798
-74.0,75,91.852862
-69.0,70,92.175657
-100.0,101,93.322015
-70.0,71,93.645618
-95.0,96,94.765864
-83.0,84,95.153235
-73.0,74,95.495098
-78.0,79,95.857559
-95.0,96,97.368323
-64.0,65,97.664763
-88.0,89,98.074942
-74.0,75,99.102842
-62.0,63,99.395068
-89.0,90,99.809307
-63.0,64,100.788535
-74.0,75,101.130792
-72.0,73,101.901976
-92.0,93,103.011198
-73.0,74,103.351403
-112.0,113,103.870535
-89.0,90,104.967912
-263.0,264,107.240833
-71.0,72,107.574973
-250.0,251,109.420077
-77.0,78,109.777578
-77.0,78,110.139897
-85.0,86,111.587125
-86.0,87,111.987605
-69.0,70,112.311816
-71.0,72,113.331199
