#{"t_start": 1637834842.1765559, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.690126
-500.0,500,9.58533
-500.0,500,15.615986
-289.0,290,17.681435
-271.0,272,21.079146
-182.0,183,21.948595
-500.0,500,26.237046
-203.0,204,28.031852
-129.0,130,29.318485
-121.0,122,30.479019
-123.0,124,31.056163
-85.0,86,32.162585
-128.0,129,32.832741
-119.0,120,34.246624
-226.0,227,36.582364
-121.0,122,37.16373
-122.0,123,38.570458
-101.0,102,39.052866
-101.0,102,39.528082
-78.0,79,40.976329
-100.0,101,41.481544
-102.0,103,42.653291
-87.0,88,43.059087
-70.0,71,43.38537
-67.0,68,43.696828
-201.0,202,45.74737
-74.0,75,46.842627
-78.0,79,47.233783
-63.0,64,47.558072
-90.0,91,48.004171
-78.0,79,49.224731
-131.0,132,49.861022
-98.0,99,51.655704
-81.0,82,52.048568
-70.0,71,52.374872
-94.0,95,53.504884
-76.0,77,53.861343
-73.0,74,54.201834
-100.0,101,55.375926
-149.0,150,56.523471
-85.0,86,57.604968
-84.0,85,57.996925
-75.0,76,58.3494
-100.0,101,59.511158
-71.0,72,59.843972
-117.0,118,60.399392
-95.0,96,61.934428
-76.0,77,62.292387
-92.0,93,62.722088
-89.0,90,63.856365
-81.0,82,64.232962
-96.0,97,64.690652
-86.0,87,65.810333
-92.0,93,66.668627
-95.0,96,67.11178
-70.0,71,68.125274
-78.0,79,68.500108
-89.0,90,68.919041
-71.0,72,69.948421
-64.0,65,70.250277
-89.0,90,71.255739
-81.0,82,72.350953
-73.0,74,72.692778
-72.0,73,73.033573
-86.0,87,74.121023
-122.0,123,74.683474
-69.0,70,75.004372
-165.0,166,76.853562
-71.0,72,77.182932
-69.0,70,77.504542
-72.0,73,78.549851
-85.0,86,78.954149
-67.0,68,79.311706
-81.0,82,80.506857
-75.0,76,80.908543
-73.0,74,81.679529
-69.0,70,82.717018
-82.0,83,83.125624
-95.0,96,83.588535
-80.0,81,84.659215
-187.0,188,85.546512
-91.0,92,87.077961
-74.0,75,87.421653
-92.0,93,87.846408
-103.0,104,89.007411
-63.0,64,89.30481
-74.0,75,89.646996
-86.0,87,90.731547
-89.0,90,91.146447
-89.0,90,91.943984
-74.0,75,92.971819
-77.0,78,93.329939
-70.0,71,93.653708
-74.0,75,93.997537
-79.0,80,95.0454
-90.0,91,95.46636
-87.0,88,96.256565
-70.0,71,97.265143
-73.0,74,97.604367
-85.0,86,97.999646
-105.0,106,99.169778
-74.0,75,99.517587
-68.0,69,99.835763
-133.0,134,101.134139
-77.0,78,101.928066
-63.0,64,102.222445
-75.0,76,103.252264
-82.0,83,103.633239
-94.0,95,104.072298
-73.0,74,105.096656
-100.0,101,105.566913
-79.0,80,106.301225
-79.0,80,107.356973
-71.0,72,107.6893
-205.0,206,109.327883
-62.0,63,109.615759
-84.0,85,110.008074
-62.0,63,110.991492
-69.0,70,111.672982
-70.0,71,112.000265
-85.0,86,113.08528
-61.0,62,113.37152
-63.0,64,113.664974
-75.0,76,114.016856
-80.0,81,115.07575
-82.0,83,115.47155
-64.0,65,115.768813
-75.0,76,116.47542
-70.0,71,117.479245
-88.0,89,117.886709
-79.0,80,118.25179
-135.0,136,119.551013
-94.0,95,119.988526
-90.0,91,121.453174
-85.0,86,121.84839
-76.0,77,122.201587
-83.0,84,123.271805
-75.0,76,123.628654
-60.0,61,123.911448
-137.0,138,125.350439
-77.0,78,125.712593
-78.0,79,126.47075
-69.0,70,127.51879
-149.0,150,128.265605
-63.0,64,128.586965
-77.0,78,129.707879
-78.0,79,130.111742
-88.0,89,130.55463
-70.0,71,132.135893
-88.0,89,132.606904
-78.0,79,132.99165
-231.0,232,134.841861
-76.0,77,135.896608
-82.0,83,136.275882
-87.0,88,137.040448
-77.0,78,138.141719
-71.0,72,138.471395
-87.0,88,138.930101
-87.0,88,139.388963
-61.0,62,140.514287
-70.0,71,140.843981
-76.0,77,141.19849
-70.0,71,142.619034
-70.0,71,142.960763
-69.0,70,143.290457
-90.0,91,144.533205
-78.0,79,144.933127
-85.0,86,145.36822
-69.0,70,145.695465
-78.0,79,146.734805
-70.0,71,147.442484
-76.0,77,147.795389
-70.0,71,148.797353
-82.0,83,149.177826
-76.0,77,149.537668
-69.0,70,149.858356
-70.0,71,150.875226
-79.0,80,151.242178
-63.0,64,151.955651
-61.0,62,152.916236
-85.0,86,153.310863
-81.0,82,153.686596
-78.0,79,154.721656
-63.0,64,155.01558
-69.0,70,155.345123
-85.0,86,155.737019
-74.0,75,156.760405
-75.0,76,157.491719
-103.0,104,157.969504
-81.0,82,159.180016
-100.0,101,159.697153
-75.0,76,160.076667
-79.0,80,161.149654
-83.0,84,161.537593
-74.0,75,162.259595
-86.0,87,163.384021
-71.0,72,163.71288
-120.0,121,164.269903
-61.0,62,165.229857
-87.0,88,165.647955
-74.0,75,165.993351
-71.0,72,167.015849
-90.0,91,167.856521
-89.0,90,168.267691
-102.0,103,169.413774
-76.0,77,169.765439
-500.0,500,173.877547
-77.0,78,174.256695
-61.0,62,174.567355
-71.0,72,175.646057
-86.0,87,176.083698
-68.0,69,176.469341
-81.0,82,178.537296
-89.0,90,179.088907
-81.0,82,179.535239
-71.0,72,180.746225
-69.0,70,181.147308
-72.0,73,181.545354
-80.0,81,182.841199
-74.0,75,183.234688
-61.0,62,183.969029
-75.0,76,184.36431
-82.0,83,185.625975
-94.0,95,186.173937
-70.0,71,186.542703
-86.0,87,187.805003
-72.0,73,188.185939
-89.0,90,188.652701
-82.0,83,190.733618
-92.0,93,191.394762
-62.0,63,191.79855
-104.0,105,193.358967
-87.0,88,193.834644
-102.0,103,194.384192
-85.0,86,195.669089
-86.0,87,196.639718
-71.0,72,197.015722
-70.0,71,198.187382
-70.0,71,198.55714
-71.0,72,198.934047
-70.0,71,199.302295
-78.0,79,200.556262
-63.0,64,200.88636
-100.0,101,201.981926
-88.0,89,203.245979
-101.0,102,203.775356
-83.0,84,205.023549
-71.0,72,205.402532
-73.0,74,205.783628
-90.0,91,206.252265
-83.0,84,208.027698
-63.0,64,208.360938
-116.0,117,208.972783
-121.0,122,210.43779
-81.0,82,210.869777
-160.0,161,212.512796
-63.0,64,212.848303
-70.0,71,213.641343
-82.0,83,214.881481
-179.0,180,215.835056
-70.0,71,217.067236
-70.0,71,217.439826
-76.0,77,217.843969
-77.0,78,219.488411
-82.0,83,219.920088
-75.0,76,220.320803
-72.0,73,221.501898
-71.0,72,221.877642
-92.0,93,222.364837
-76.0,77,222.763032
-75.0,76,223.965344
-71.0,72,224.345182
-87.0,88,225.214256
-88.0,89,226.635153
-71.0,72,227.008868
-74.0,75,227.398731
