#{"t_start": 1637834842.1751924, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.691199
-500.0,500,9.586413
-352.0,353,14.932184
-310.0,311,17.076895
-205.0,206,18.89502
-181.0,182,21.032126
-252.0,253,22.910728
-258.0,259,25.330344
-111.0,112,25.891165
-138.0,139,26.576302
-146.0,147,28.092628
-139.0,140,29.424783
-143.0,144,30.689857
-105.0,106,31.888811
-121.0,122,32.464089
-102.0,103,33.032613
-164.0,165,34.658065
-107.0,108,36.409019
-116.0,117,36.958402
-199.0,200,38.740806
-124.0,125,39.324954
-135.0,136,41.038056
-99.0,100,41.537757
-88.0,89,42.645101
-96.0,97,43.093196
-98.0,99,43.546957
-107.0,108,44.732839
-81.0,82,45.542645
-102.0,103,46.018935
-83.0,84,47.172733
-111.0,112,47.727671
-76.0,77,48.952401
-84.0,85,49.356615
-90.0,91,49.801491
-82.0,83,51.471421
-97.0,98,51.988966
-94.0,95,52.427015
-92.0,93,53.548602
-73.0,74,53.890349
-100.0,101,54.3592
-119.0,120,55.619071
-77.0,78,56.430346
-72.0,73,56.775002
-75.0,76,57.805574
-97.0,98,58.257845
-73.0,74,58.60904
-75.0,76,59.646715
-70.0,71,59.97391
-84.0,85,60.375969
-86.0,87,61.870523
-70.0,71,62.200716
-77.0,78,62.560822
-74.0,75,62.909087
-64.0,65,63.925621
-97.0,98,64.385956
-78.0,79,64.752544
-205.0,206,66.849566
-71.0,72,67.867543
-75.0,76,68.218231
-75.0,76,68.580372
-93.0,94,69.017615
-91.0,92,70.139497
-71.0,72,70.474064
-73.0,74,71.418225
-63.0,64,72.417222
-83.0,84,72.806597
-78.0,79,73.173338
-83.0,84,74.246216
-88.0,89,74.652773
-64.0,65,74.950448
-72.0,73,75.288091
-121.0,122,76.932151
-71.0,72,77.262656
-98.0,99,78.416688
-80.0,81,78.80574
-84.0,85,79.233471
-78.0,79,80.417779
-101.0,102,80.956579
-71.0,72,81.710272
-73.0,74,82.767394
-119.0,120,83.361464
-72.0,73,83.699457
-83.0,84,84.785554
-73.0,74,85.125324
-69.0,70,85.468701
-70.0,71,85.845129
-72.0,73,87.238877
-105.0,106,87.722391
-84.0,85,88.799014
-71.0,72,89.129538
-114.0,115,89.657476
-73.0,74,90.681903
-88.0,89,91.092165
-93.0,94,91.907817
-88.0,89,93.000643
-73.0,74,93.340258
-62.0,63,93.627058
-63.0,64,93.921024
-93.0,94,95.032892
-86.0,87,95.435385
-90.0,91,96.239014
-81.0,82,97.299224
-85.0,86,97.691879
-62.0,63,97.982299
-74.0,75,99.010306
-86.0,87,99.413366
-194.0,195,100.993396
-81.0,82,101.8051
-74.0,75,102.149473
-108.0,109,103.33281
-96.0,97,103.778498
-80.0,81,104.151595
-75.0,76,105.184563
-81.0,82,105.567971
-83.0,84,106.320977
-69.0,70,107.32988
-80.0,81,107.704484
-87.0,88,108.115451
-83.0,84,109.185639
-113.0,114,109.708679
-93.0,94,110.144879
-105.0,106,111.683389
-88.0,89,112.095173
-102.0,103,113.256175
-87.0,88,113.661418
-71.0,72,113.995107
-63.0,64,114.974456
-71.0,72,115.320455
-73.0,74,115.659442
-63.0,64,116.312824
-164.0,165,117.744931
-77.0,78,118.102422
-77.0,78,119.134777
-76.0,77,119.488123
-94.0,95,119.925684
-104.0,105,121.454238
-80.0,81,121.826409
-63.0,64,122.120018
-91.0,92,123.225726
-70.0,71,123.56093
-77.0,78,123.921865
-75.0,76,124.303291
-80.0,81,125.451519
-87.0,88,126.211564
-70.0,71,126.580985
-74.0,75,127.67328
-70.0,71,128.004517
-75.0,76,128.3887
-95.0,96,129.610999
-76.0,77,130.002312
-74.0,75,130.362868
-85.0,86,132.024908
-63.0,64,132.362652
-76.0,77,132.762937
-76.0,77,133.12138
-63.0,64,134.143559
-71.0,72,134.510749
-101.0,102,135.015273
-102.0,103,136.171349
-76.0,77,136.886256
-82.0,83,137.266786
-224.0,225,139.11811
-70.0,71,140.307914
-101.0,102,140.789393
-60.0,61,141.070556
-73.0,74,141.822536
-63.0,64,142.802566
-63.0,64,143.112659
-75.0,76,143.47167
-80.0,81,144.68102
-70.0,71,145.033337
-80.0,81,145.437462
-87.0,88,146.525866
-90.0,91,147.32544
-89.0,90,147.735943
-77.0,78,148.770591
-74.0,75,149.114676
-69.0,70,149.441783
-63.0,64,149.735123
-82.0,83,150.807155
-112.0,113,151.325975
-70.0,71,152.07245
-77.0,78,153.105556
-63.0,64,153.398766
-62.0,63,153.687649
-63.0,64,153.982767
-87.0,88,155.058276
-69.0,70,155.387281
-70.0,71,155.710756
-63.0,64,156.683583
-70.0,71,157.392124
-71.0,72,157.722198
-69.0,70,158.045976
-71.0,72,159.213084
-69.0,70,159.575968
-238.0,239,161.419085
-89.0,90,162.20986
-195.0,196,163.834312
-132.0,133,165.121131
-74.0,75,165.476941
-75.0,76,165.828901
-72.0,73,166.165829
-70.0,71,167.605159
-85.0,86,167.998953
-208.0,209,169.629621
-87.0,88,170.034761
-70.0,71,170.363253
-82.0,83,171.415866
-163.0,164,172.579067
-69.0,70,173.617915
-82.0,83,174.031343
-76.0,77,174.396047
-79.0,80,175.527983
-70.0,71,175.866249
-71.0,72,176.270459
-71.0,72,178.27151
-71.0,72,178.663314
-75.0,76,179.137623
-500.0,500,183.939153
-86.0,87,184.393086
-79.0,80,185.640974
-146.0,147,186.457242
-62.0,63,187.595141
-71.0,72,187.967406
-123.0,124,188.611416
-71.0,72,190.613926
-62.0,63,191.045367
-73.0,74,191.56361
-113.0,114,193.199563
-70.0,71,193.589378
-83.0,84,194.035659
-71.0,72,194.421333
-75.0,76,195.653212
-73.0,74,196.535992
-78.0,79,196.968968
-63.0,64,198.106
-62.0,63,198.432614
-89.0,90,198.904554
-71.0,72,199.277178
-76.0,77,200.521444
-89.0,90,200.98767
-76.0,77,201.957487
-96.0,97,203.262339
-72.0,73,203.642015
-61.0,62,203.964475
-127.0,128,205.446239
-106.0,107,205.995516
-86.0,87,207.312889
-85.0,86,208.234165
-132.0,133,208.927857
-80.0,81,210.176187
-302.0,303,212.56577
-131.0,132,213.678843
-72.0,73,214.868029
-75.0,76,215.261052
-74.0,75,215.665786
-71.0,72,216.903567
-77.0,78,217.315217
-87.0,88,217.775395
-82.0,83,219.007078
-62.0,63,219.776544
-62.0,63,220.107727
-76.0,77,220.508748
-62.0,63,221.637336
-72.0,73,222.01915
-85.0,86,222.469403
-63.0,64,222.80117
-63.0,64,223.93922
-63.0,64,224.278583
-76.0,77,225.090803
-75.0,76,226.446785
-95.0,96,226.943646
-500.0,500,231.707294
-81.0,82,232.222642
-77.0,78,233.662395
-61.0,62,234.052623
-62.0,63,234.449717
-76.0,77,234.935719
-70.0,71,236.338923
-76.0,77,236.823794
-75.0,76,237.829338
-139.0,140,239.476904
-63.0,64,239.81069
-199.0,200,241.686882
-79.0,80,242.10633
-83.0,84,243.002726
-70.0,71,244.196536
-70.0,71,244.572264
-78.0,79,244.988219
-76.0,77,246.206995
-91.0,92,246.692339
-71.0,72,247.073919
-97.0,98,248.39553
-70.0,71,249.19776
-74.0,75,249.635387
-76.0,77,250.03898
-64.0,65,251.196264
-70.0,71,251.570477
-70.0,71,251.944869
-85.0,86,253.208148
-71.0,72,253.582265
-71.0,72,253.961162
-87.0,88,255.653052
-75.0,76,256.053587
-108.0,109,256.635113
-78.0,79,257.862725
-70.0,71,258.234171
-95.0,96,258.742025
-71.0,72,259.119368
-77.0,78,260.937727
-63.0,64,261.274192
-79.0,80,261.691902
-70.0,71,262.910624
-75.0,76,263.307111
-141.0,142,264.049279
-76.0,77,265.264759
-79.0,80,265.682393
-75.0,76,266.54423
-63.0,64,267.686797
-77.0,78,268.097793
-69.0,70,268.465056
-80.0,81,269.698143
-80.0,81,270.159372
-73.0,74,270.588052
-188.0,189,273.160342
-81.0,82,273.671061
-77.0,78,275.11093
-90.0,91,275.680672
-64.0,65,276.087604
-70.0,71,276.530541
-74.0,75,277.743334
-207.0,208,280.102438
-95.0,96,280.605827
-73.0,74,281.02881
-87.0,88,282.311223
-78.0,79,282.72573
-74.0,75,283.130388
-73.0,74,283.515718
-81.0,82,285.398383
-80.0,81,285.824362
-94.0,95,286.324753
-63.0,64,287.598702
-82.0,83,288.117812
-98.0,99,288.73701
-75.0,76,290.055791
-75.0,76,290.984985
-68.0,69,291.350223
-82.0,83,292.595325
-77.0,78,293.003899
-63.0,64,293.340836
-70.0,71,293.714068
-71.0,72,294.917902
-62.0,63,295.250592
-70.0,71,295.631476
-72.0,73,296.441679
-62.0,63,297.602548
-72.0,73,298.009169
-89.0,90,298.483802
-76.0,77,299.699868
-65.0,66,300.047786
-63.0,64,300.410502
-71.0,72,300.787232
-71.0,72,301.97566
-98.0,99,302.953062
-70.0,71,303.323526
-99.0,100,304.66722
-93.0,94,305.163989
-83.0,84,305.614505
-63.0,64,306.763861
-70.0,71,307.147669
-71.0,72,307.959005
-89.0,90,309.31393
-89.0,90,309.786678
-98.0,99,310.310199
-75.0,76,311.52428
-71.0,72,311.905468
-87.0,88,312.365803
-147.0,148,314.399727
-62.0,63,314.726472
-70.0,71,315.105957
-75.0,76,316.322832
-79.0,80,316.737021
-90.0,91,317.207951
-89.0,90,318.526379
-78.0,79,318.943918
-70.0,71,319.849469
-81.0,82,321.101539
-62.0,63,321.433538
-63.0,64,321.766532
-61.0,62,322.095795
-63.0,64,323.247596
-61.0,62,323.569319
-91.0,92,324.052075
-70.0,71,324.422833
-71.0,72,326.185553
-83.0,84,326.622895
-80.0,81,327.041166
-75.0,76,328.255823
-70.0,71,328.626741
-65.0,66,328.974563
-94.0,95,330.337263
-63.0,64,330.671017
-64.0,65,331.4272
-75.0,76,331.843866
-91.0,92,333.122533
-70.0,71,333.489027
-77.0,78,333.890106
-70.0,71,335.069265
-83.0,84,335.505136
-104.0,105,336.044846
-77.0,78,337.730924
-70.0,71,338.095156
-81.0,82,338.518462
-104.0,105,339.895662
-70.0,71,340.297238
-75.0,76,340.687965
-80.0,81,341.916696
-172.0,173,343.277165
-80.0,81,344.505116
-82.0,83,344.932016
-86.0,87,345.396312
-93.0,94,346.697626
-89.0,90,347.162722
-91.0,92,348.02842
-74.0,75,349.432516
-81.0,82,349.8571
-71.0,72,350.233682
-87.0,88,351.569523
-89.0,90,352.030409
-80.0,81,352.462181
-62.0,63,352.786588
-61.0,62,353.917314
-73.0,74,354.797782
-70.0,71,355.166158
-81.0,82,356.402544
-70.0,71,356.771929
-62.0,63,357.097781
-86.0,87,357.555727
-74.0,75,358.787335
-71.0,72,359.172762
-110.0,111,360.191334
-92.0,93,361.487943
-110.0,111,362.089517
-70.0,71,363.2655
-71.0,72,363.634296
-70.0,71,364.000804
-72.0,73,364.377099
-94.0,95,366.104761
-83.0,84,366.537126
-75.0,76,366.927959
-71.0,72,368.105698
-90.0,91,368.575091
-98.0,99,369.08363
-71.0,72,370.264355
-70.0,71,370.629359
-71.0,72,371.575456
-70.0,71,372.748598
-71.0,72,373.124288
-70.0,71,373.490714
-93.0,94,373.98076
-75.0,76,375.170845
-80.0,81,375.600325
-71.0,72,375.979809
-75.0,76,377.652102
-70.0,71,378.070861
-83.0,84,378.503155
-70.0,71,379.670711
-89.0,90,380.138058
-96.0,97,380.639677
-77.0,78,381.839198
-71.0,72,382.207158
-61.0,62,383.042089
-71.0,72,383.412063
-80.0,81,384.633223
-70.0,71,385.001616
-103.0,104,385.545915
-63.0,64,386.737093
-70.0,71,387.125341
-89.0,90,387.591076
-63.0,64,388.378716
-76.0,77,389.588631
-70.0,71,389.95811
-75.0,76,390.360673
-61.0,62,391.509013
-63.0,64,391.846106
-84.0,85,392.291915
-75.0,76,392.687472
-70.0,71,393.915913
-63.0,64,394.674803
-73.0,74,395.110133
-135.0,136,396.904233
-75.0,76,397.381259
-62.0,63,397.774221
-75.0,76,399.107249
-82.0,83,399.537985
-94.0,95,400.428403
-70.0,71,401.584401
-62.0,63,401.911766
-88.0,89,402.372133
-65.0,66,403.497273
-71.0,72,403.8655
-63.0,64,404.192789
-62.0,63,404.547243
-95.0,96,405.842393
-71.0,72,406.590394
-63.0,64,406.91965
-75.0,76,407.311502
-96.0,97,408.60038
-71.0,72,408.994703
-75.0,76,409.394154
-70.0,71,410.552334
-92.0,93,411.042046
-62.0,63,411.778773
-83.0,84,413.003003
-74.0,75,413.387753
-62.0,63,413.707767
-70.0,71,414.112956
-73.0,74,415.301987
-74.0,75,415.692457
-199.0,200,417.920932
-81.0,82,418.362689
-85.0,86,418.81225
-71.0,72,419.970226
-76.0,77,420.394861
-75.0,76,420.814526
-135.0,136,422.311149
-76.0,77,423.168432
-83.0,84,424.387022
-78.0,79,424.797796
-174.0,175,426.545235
-86.0,87,426.988126
-79.0,80,427.400387
-63.0,64,427.72718
-62.0,63,429.259789
-71.0,72,429.628807
-63.0,64,429.957616
-80.0,81,431.204681
-63.0,64,431.54411
-75.0,76,431.938054
-92.0,93,432.419255
-72.0,73,433.576156
-62.0,63,434.294114
-83.0,84,434.722457
-73.0,74,435.924553
-63.0,64,436.28832
-62.0,63,436.681199
-97.0,98,437.211524
-83.0,84,438.447771
-71.0,72,438.817191
-72.0,73,439.192044
-70.0,71,440.935742
-82.0,83,441.453697
-72.0,73,441.866383
-63.0,64,442.192477
-62.0,63,443.338174
-70.0,71,443.705408
-78.0,79,444.118343
-63.0,64,445.251593
-95.0,96,446.138632
-70.0,71,446.508162
-75.0,76,447.838528
-90.0,91,448.406323
-70.0,71,448.846974
-83.0,84,449.377323
-126.0,127,450.984532
-75.0,76,451.766902
-84.0,85,452.991746
-70.0,71,453.352659
-63.0,64,453.680954
-62.0,63,454.0094
-63.0,64,455.184776
-70.0,71,455.561044
-80.0,81,455.986688
-71.0,72,457.197497
-99.0,100,458.17848
-89.0,90,458.660272
-71.0,72,459.8327
-62.0,63,460.159492
-63.0,64,460.492977
-63.0,64,460.825088
-71.0,72,461.981672
-75.0,76,462.375249
-63.0,64,462.700781
-62.0,63,463.476435
-71.0,72,464.634646
-74.0,75,465.018312
-71.0,72,465.397435
-62.0,63,465.718597
-64.0,65,466.845533
-79.0,80,467.266303
-89.0,90,467.757935
-69.0,70,469.336425
-100.0,101,469.857714
-92.0,93,470.336218
-61.0,62,471.458827
-82.0,83,471.893347
-82.0,83,472.317999
-70.0,71,473.468527
-89.0,90,473.931858
-71.0,72,474.694279
-63.0,64,475.035073
-85.0,86,476.280263
-81.0,82,476.702479
-82.0,83,477.134192
-70.0,71,478.32014
-70.0,71,478.685242
-71.0,72,479.060941
-63.0,64,480.565139
-70.0,71,480.931236
-70.0,71,481.300656
-81.0,82,481.725278
-63.0,64,482.844187
-79.0,80,483.256564
-91.0,92,483.731434
-70.0,71,484.882553
-62.0,63,485.208721
-77.0,78,485.982242
-75.0,76,486.38817
-90.0,91,487.670282
-95.0,96,488.161492
-71.0,72,488.530206
-63.0,64,489.646974
-70.0,71,490.070071
-104.0,105,490.991604
-247.0,248,493.076597
-70.0,71,494.291221
-71.0,72,494.665828
-72.0,73,495.042791
-70.0,71,495.414146
-93.0,94,497.100868
-64.0,65,497.436827
-63.0,64,497.766254
-99.0,100,499.068655
-74.0,75,499.450152
-71.0,72,499.823242
-71.0,72,500.974222
-70.0,71,501.339087
-61.0,62,501.65497
-74.0,75,502.478491
-92.0,93,503.739929
-63.0,64,504.065869
-72.0,73,504.438196
-70.0,71,505.642549
-68.0,69,505.999247
-84.0,85,506.444282
-74.0,75,506.829782
-72.0,73,508.52845
-85.0,86,509.004384
-71.0,72,509.398415
-91.0,92,510.696645
-72.0,73,511.083052
-103.0,104,511.624071
-77.0,78,512.804075
