#{"t_start": 1637834842.1622806, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.701467
-500.0,500,9.596701
-358.0,359,14.970725
-311.0,312,17.120439
-251.0,252,19.742674
-165.0,166,21.21426
-289.0,290,23.257594
-126.0,127,24.369566
-171.0,172,25.911929
-127.0,128,26.542921
-137.0,138,28.0208
-139.0,140,29.353478
-112.0,113,30.47241
-127.0,128,31.068002
-122.0,123,32.351613
-144.0,145,33.916312
-100.0,101,34.431341
-114.0,115,35.453339
-134.0,135,36.862775
-140.0,141,37.608995
-131.0,132,38.985209
-107.0,108,39.488909
-117.0,118,41.119164
-118.0,119,41.704987
-110.0,111,42.913215
-88.0,89,43.324255
-93.0,94,43.754342
-76.0,77,44.800177
-129.0,130,45.830702
-100.0,101,47.052335
-90.0,91,47.517031
-100.0,101,48.011304
-93.0,94,49.302659
-67.0,68,49.632612
-96.0,97,50.091509
-64.0,65,51.734318
-169.0,170,52.526789
-83.0,84,53.605592
-96.0,97,54.052568
-75.0,76,54.407202
-90.0,91,55.531579
-78.0,79,56.349256
-63.0,64,56.646065
-90.0,91,57.751453
-76.0,77,58.106683
-80.0,81,58.480714
-74.0,75,59.523104
-96.0,97,59.97085
-134.0,135,60.999877
-70.0,71,62.025214
-97.0,98,62.47865
-101.0,102,62.952779
-98.0,99,64.124885
-73.0,74,64.476169
-107.0,108,65.686568
-80.0,81,66.497939
-78.0,79,66.860375
-82.0,83,67.929805
-153.0,154,68.651655
-87.0,88,69.061472
-85.0,86,70.1552
-97.0,98,70.609665
-62.0,63,71.508223
-94.0,95,72.644665
-71.0,72,72.981225
-75.0,76,73.331311
-62.0,63,74.308236
-70.0,71,74.631666
-63.0,64,74.924503
-81.0,82,75.303862
-70.0,71,76.711951
-84.0,85,77.10302
-79.0,80,77.470742
-110.0,111,78.695871
-67.0,68,79.016056
-84.0,85,79.486292
-95.0,96,80.729641
-92.0,93,81.610847
-78.0,79,82.003993
-69.0,70,83.039921
-127.0,128,83.655575
-96.0,97,84.801365
-81.0,82,85.177274
-117.0,118,85.746908
-94.0,95,87.287729
-102.0,103,87.756406
-80.0,81,88.814632
-73.0,74,89.154236
-77.0,78,89.513532
-70.0,71,89.839639
-93.0,94,90.955844
-70.0,71,91.663836
-80.0,81,92.038938
-81.0,82,93.098747
-75.0,76,93.446529
-78.0,79,93.808676
-84.0,85,94.879002
-80.0,81,95.250454
-91.0,92,95.674755
-70.0,71,97.069446
-73.0,74,97.410857
-70.0,71,97.734702
-108.0,109,98.91982
-88.0,89,99.332095
-62.0,63,99.621106
-71.0,72,99.953022
-75.0,76,100.985927
-71.0,72,101.749587
-61.0,62,102.037064
-85.0,86,103.113855
-79.0,80,103.481138
-79.0,80,103.849106
-76.0,77,104.887123
-62.0,63,105.177082
-88.0,89,105.593072
-80.0,81,106.331709
-75.0,76,107.368857
-93.0,94,107.806037
-70.0,71,108.135607
-75.0,76,109.168867
-82.0,83,109.550153
-73.0,74,109.891445
-94.0,95,111.021785
-89.0,90,111.795792
-76.0,77,112.151907
-74.0,75,113.184657
-62.0,63,113.475535
-75.0,76,113.827231
-76.0,77,114.181839
-63.0,64,115.161521
-62.0,63,115.465388
-91.0,92,116.244025
-88.0,89,117.331331
-71.0,72,117.659726
-86.0,87,118.058603
-75.0,76,119.08131
-102.0,103,119.553796
-73.0,74,119.895162
-64.0,65,120.878242
-128.0,129,121.832444
-73.0,74,122.172234
-81.0,82,123.231903
-112.0,113,123.760228
-82.0,83,124.152144
-75.0,76,125.286718
-110.0,111,126.167487
-70.0,71,126.53347
-105.0,106,127.774923
-77.0,78,128.149841
-92.0,93,128.61884
-69.0,70,129.700683
-71.0,72,130.072474
-62.0,63,130.373607
-70.0,71,131.954542
-87.0,88,132.420681
-71.0,72,132.793423
-80.0,81,133.169608
-69.0,70,134.219801
-84.0,85,134.657126
-76.0,77,135.036526
-70.0,71,136.045712
-77.0,78,136.762335
-84.0,85,137.154855
-76.0,77,138.249323
-77.0,78,138.636885
-88.0,89,139.089266
-78.0,79,140.318667
-88.0,89,140.740238
-73.0,74,141.081365
-85.0,86,142.57122
-76.0,77,142.936594
-74.0,75,143.29301
-83.0,84,143.69825
-70.0,71,144.860568
-79.0,80,145.267398
-97.0,98,145.730639
-79.0,80,146.77429
-80.0,81,147.52716
-70.0,71,147.853869
-79.0,80,148.897372
-82.0,83,149.276809
-88.0,89,149.690919
-209.0,210,151.346028
-69.0,70,152.088083
-72.0,73,153.097974
-69.0,70,153.41892
-71.0,72,153.749038
-69.0,70,154.742969
-83.0,84,155.131191
-62.0,63,155.426029
-77.0,78,155.78123
-80.0,81,156.833493
-70.0,71,157.540293
-76.0,77,157.894541
-79.0,80,159.089813
-63.0,64,159.420201
-80.0,81,159.823334
-91.0,92,160.973484
-104.0,105,161.457206
-75.0,76,162.184099
-93.0,94,163.340295
-95.0,96,163.78007
-70.0,71,164.107737
-80.0,81,165.154965
-75.0,76,165.516165
-91.0,92,165.940786
-88.0,89,167.041722
-72.0,73,167.798675
-68.0,69,168.115427
-70.0,71,168.438419
-97.0,98,169.563157
-114.0,115,170.094485
-88.0,89,171.176725
-64.0,65,171.472451
-73.0,74,172.223883
-62.0,63,172.512191
-69.0,70,173.550823
-125.0,126,174.164097
-69.0,70,174.502306
-72.0,73,175.593505
-99.0,100,176.089752
-63.0,64,176.448601
-91.0,92,178.570738
-62.0,63,178.966668
-70.0,71,179.37041
-167.0,168,181.116679
-73.0,74,181.516482
-74.0,75,181.912394
-99.0,100,183.310633
-87.0,88,184.179267
-70.0,71,184.557689
