#{"t_start": 1637834842.1710258, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.694511
-500.0,500,9.589734
-322.0,323,14.797502
-310.0,311,16.940713
-224.0,225,18.846918
-172.0,173,20.23226
-168.0,169,21.74275
-194.0,195,23.333002
-225.0,226,25.615073
-130.0,131,26.279839
-148.0,149,27.819054
-122.0,123,28.387705
-98.0,99,29.528959
-127.0,128,30.722229
-124.0,125,32.00847
-103.0,104,32.500271
-103.0,104,33.870331
-123.0,124,34.49791
-118.0,119,35.534443
-255.0,256,37.596311
-105.0,106,38.853045
-110.0,111,39.370723
-83.0,84,40.842727
-96.0,97,41.304898
-120.0,121,41.888913
-91.0,92,43.007385
-90.0,91,43.427278
-90.0,91,44.534067
-108.0,109,45.040606
-103.0,104,45.947589
-91.0,92,47.132993
-94.0,95,47.612738
-70.0,71,47.964676
-89.0,90,49.238509
-72.0,73,49.593282
-82.0,83,49.985658
-70.0,71,51.647559
-72.0,73,52.002401
-90.0,91,52.420838
-84.0,85,53.504819
-79.0,80,53.875185
-75.0,76,54.225152
-70.0,71,54.566924
-90.0,91,55.682708
-83.0,84,56.523254
-63.0,64,56.824792
-93.0,94,57.936776
-85.0,86,58.335585
-72.0,73,58.68084
-74.0,75,59.714252
-75.0,76,60.065519
-85.0,86,60.472416
-71.0,72,61.897226
-74.0,75,62.245533
-64.0,65,62.545512
-89.0,90,63.676816
-99.0,100,64.14062
-90.0,91,64.570488
-94.0,95,65.724002
-95.0,96,66.600892
-91.0,92,67.022983
-77.0,78,68.069982
-79.0,80,68.448092
-67.0,68,68.763674
-97.0,98,69.915189
-67.0,68,70.230439
-89.0,90,71.23185
-74.0,75,72.299792
-75.0,76,72.651267
-63.0,64,72.95114
-72.0,73,73.287339
-71.0,72,74.30548
-87.0,88,74.706543
-98.0,99,75.160814
-71.0,72,76.17585
-77.0,78,76.935566
-71.0,72,77.266066
-70.0,71,78.2839
-71.0,72,78.636434
-89.0,90,79.070626
-71.0,72,79.46679
-65.0,66,80.555122
-80.0,81,80.994385
-89.0,90,81.832273
-70.0,71,82.876299
-77.0,78,83.261091
-63.0,64,83.565578
-97.0,98,84.714082
-87.0,88,85.119492
-135.0,136,85.798432
-92.0,93,87.303304
-97.0,98,87.749095
-71.0,72,88.081046
-85.0,86,89.160629
-156.0,157,89.882064
-227.0,228,91.999183
-98.0,99,93.137049
-97.0,98,93.584923
-73.0,74,93.924442
-79.0,80,94.971969
-93.0,94,95.40685
-131.0,132,97.081083
-94.0,95,97.517401
-71.0,72,97.848071
-86.0,87,98.930737
-62.0,63,99.22039
-94.0,95,99.66011
-71.0,72,99.991733
-78.0,79,101.038249
-81.0,82,101.850199
-78.0,79,102.213156
-70.0,71,103.2204
-98.0,99,103.674696
-76.0,77,104.029072
-74.0,75,105.058172
-59.0,60,105.343227
-85.0,86,105.736744
-68.0,69,107.106069
-73.0,74,107.44952
-80.0,81,107.826836
-71.0,72,108.16064
-75.0,76,109.193816
-86.0,87,109.592906
-63.0,64,109.888917
-76.0,77,110.937039
-75.0,76,111.645469
-90.0,91,112.066495
-84.0,85,113.14506
-88.0,89,113.555198
-66.0,67,113.866067
-83.0,84,114.93663
-76.0,77,115.301178
-71.0,72,115.635417
-85.0,86,116.389193
-69.0,70,117.387907
-94.0,95,117.823181
-103.0,104,118.299032
-93.0,94,119.404659
-73.0,74,119.743572
-79.0,80,120.115763
-71.0,72,121.490016
-81.0,82,121.866786
-67.0,68,122.178524
-95.0,96,123.304537
-75.0,76,123.66097
-82.0,83,124.048346
-106.0,107,125.339386
-75.0,76,125.694073
-86.0,87,126.489529
-71.0,72,127.552852
-73.0,74,127.915286
-62.0,63,128.228791
-74.0,75,128.606591
-96.0,97,129.828893
-96.0,97,130.301443
-70.0,71,131.458293
-76.0,77,132.289054
-111.0,112,132.865676
-91.0,92,134.017826
-78.0,79,134.406719
-74.0,75,134.774313
-86.0,87,135.88283
-76.0,77,136.234312
-94.0,95,137.031208
-75.0,76,138.123359
-72.0,73,138.457538
-100.0,101,138.980695
-98.0,99,140.317974
