#{"t_start": 1637834842.1682081, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.696742
-500.0,500,9.591987
-500.0,500,15.622831
-219.0,220,17.345459
-177.0,178,19.620875
-189.0,190,21.204569
-223.0,224,22.948371
-162.0,163,23.717071
-160.0,161,25.687745
-146.0,147,26.421676
-133.0,134,27.89029
-115.0,116,28.427769
-163.0,164,30.467489
-127.0,128,31.063067
-111.0,112,32.293348
-127.0,128,32.975681
-96.0,97,34.263162
-115.0,116,35.303499
-88.0,89,36.494088
-101.0,102,36.973867
-95.0,96,37.506051
-82.0,83,38.656008
-93.0,94,39.096976
-86.0,87,39.502844
-226.0,227,41.672024
-95.0,96,42.811639
-97.0,98,43.263859
-105.0,106,43.749433
-80.0,81,44.814557
-95.0,96,45.685513
-94.0,95,46.873974
-99.0,100,47.377719
-85.0,86,47.796424
-73.0,74,49.005889
-146.0,147,49.709118
-82.0,83,50.102443
-83.0,84,51.8361
-79.0,80,52.207839
-184.0,185,53.752403
-79.0,80,54.12218
-94.0,95,54.574031
-90.0,91,55.689837
-104.0,105,56.627185
-89.0,90,57.72793
-80.0,81,58.101736
-75.0,76,58.452634
-74.0,75,59.49515
-82.0,83,59.878853
-77.0,78,60.237939
-90.0,91,61.0642
-84.0,85,62.155624
-88.0,89,62.5666
-75.0,76,62.919619
-76.0,77,63.991087
-67.0,68,64.309237
-85.0,86,64.712534
-88.0,89,65.841691
-77.0,78,66.630554
-82.0,83,67.011579
-84.0,85,68.09077
-70.0,71,68.426289
-86.0,87,68.832075
-72.0,73,69.866508
-73.0,74,70.209532
-98.0,99,71.256798
-83.0,84,72.362705
-82.0,83,72.746163
-76.0,77,73.105308
-87.0,88,74.196977
-76.0,77,74.548809
-82.0,83,74.92883
-95.0,96,76.05475
-156.0,157,77.176052
-132.0,133,78.492211
-72.0,73,78.839387
-71.0,72,79.203109
-62.0,63,80.309205
-77.0,78,80.704324
-96.0,97,81.605931
-62.0,63,81.917635
-79.0,80,83.005825
-97.0,98,83.485145
-80.0,81,83.858728
-93.0,94,84.98838
-78.0,79,85.364931
-81.0,82,85.764536
-76.0,77,87.212604
-78.0,79,87.573663
-115.0,116,88.790563
-76.0,77,89.144562
-192.0,193,90.715217
-82.0,83,91.097938
-81.0,82,91.858825
-63.0,64,92.153652
-86.0,87,93.234729
-69.0,70,93.555287
-74.0,75,93.899382
-233.0,234,95.655875
-100.0,101,97.189654
-87.0,88,97.59296
-97.0,98,98.043889
-100.0,101,99.190513
-84.0,85,99.58406
-86.0,87,99.984843
-80.0,81,101.040546
-81.0,82,101.852499
-69.0,70,102.173605
-96.0,97,103.301952
-103.0,104,103.779083
-78.0,79,104.143538
-73.0,74,105.167255
-88.0,89,105.58338
-81.0,82,106.326773
-85.0,86,107.410111
-81.0,82,107.791586
-69.0,70,108.116204
-70.0,71,109.126961
-70.0,71,109.453581
-73.0,74,109.794288
-73.0,74,110.13668
-170.0,171,111.975071
-75.0,76,112.326811
-61.0,62,113.299846
-84.0,85,113.690934
-75.0,76,114.042557
-69.0,70,115.049431
-72.0,73,115.40082
