#{"t_start": 1637834842.1779103, "env_id": "Acrobot-v1"}
r,l,t
-71.0,72,212.324324
-88.0,89,212.789229
-69.0,70,213.577022
-70.0,71,214.752725
-82.0,83,215.187677
-81.0,82,215.62787
-81.0,82,216.916202
-88.0,89,217.384503
-72.0,73,217.767299
-72.0,73,218.947723
-86.0,87,219.84066
-70.0,71,220.214539
-71.0,72,220.589564
-93.0,94,221.881296
-74.0,75,222.273947
-86.0,87,222.726244
-77.0,78,223.937
-168.0,169,225.232768
-90.0,91,226.665516
-83.0,84,227.102545
-71.0,72,227.476063
-71.0,72,228.704911
-96.0,97,229.217416
-62.0,63,229.543529
-63.0,64,231.143523
-75.0,76,231.54874
-95.0,96,232.151683
-70.0,71,232.595333
-88.0,89,234.108057
-92.0,93,234.692816
-75.0,76,235.173214
-88.0,89,236.688465
-69.0,70,237.656502
-79.0,80,238.142178
-91.0,92,239.499035
-76.0,77,239.902583
-87.0,88,240.367544
-63.0,64,241.526762
-247.0,248,244.10492
-77.0,78,244.517048
-70.0,71,244.89154
-144.0,145,246.467635
-75.0,76,246.870423
-85.0,86,247.322512
-70.0,71,248.504757
-63.0,64,249.26974
-87.0,88,249.773318
-126.0,127,251.257786
-84.0,85,251.705064
-102.0,103,253.05693
-93.0,94,253.548664
-92.0,93,254.037802
-71.0,72,255.645949
-72.0,73,256.029958
-87.0,88,256.499969
-63.0,64,256.842698
-64.0,65,257.991926
-78.0,79,258.406074
-89.0,90,258.883066
-63.0,64,260.028601
-62.0,63,260.956792
-71.0,72,261.335881
-63.0,64,261.66856
-69.0,70,262.88367
-76.0,77,263.285411
-143.0,144,264.036444
-63.0,64,265.183784
-97.0,98,265.695583
-69.0,70,266.526016
-247.0,248,268.637223
-88.0,89,269.933867
-81.0,82,270.385378
-80.0,81,270.893773
-71.0,72,272.729976
-77.0,78,273.220105
-83.0,84,273.744456
-62.0,63,274.138592
-71.0,72,275.542372
-75.0,76,276.016365
-71.0,72,276.465329
-166.0,167,278.171232
-79.0,80,279.046732
-84.0,85,280.305006
-72.0,73,280.687232
-63.0,64,281.05805
-72.0,73,281.44256
-77.0,78,282.672887
-71.0,72,283.060642
-98.0,99,283.578734
-85.0,86,285.480414
-99.0,100,286.005944
-71.0,72,286.385209
-71.0,72,287.721405
-71.0,72,288.172779
-74.0,75,288.641096
-69.0,70,289.945175
-63.0,64,290.28112
-88.0,89,291.280468
-102.0,103,292.629766
-91.0,92,293.114904
-71.0,72,293.492094
-75.0,76,294.705193
-84.0,85,295.163638
-63.0,64,295.507697
-74.0,75,296.311263
-82.0,83,297.592132
-70.0,71,297.990662
-71.0,72,298.371112
-81.0,82,299.613677
-81.0,82,300.045708
-63.0,64,300.40835
-84.0,85,301.662842
-63.0,64,301.99872
-87.0,88,302.919419
-71.0,72,303.294636
-74.0,75,304.508801
-85.0,86,304.960278
-92.0,93,305.460697
-84.0,85,306.720601
-63.0,64,307.065288
-90.0,91,307.978425
-62.0,63,309.191469
-99.0,100,309.717113
-64.0,65,310.062445
-81.0,82,311.305775
-71.0,72,311.685123
-127.0,128,312.358148
-70.0,71,313.541035
-95.0,96,314.491088
-70.0,71,314.866905
-62.0,63,315.198989
-73.0,74,316.403354
-83.0,84,316.839599
-89.0,90,317.303078
-88.0,89,318.618461
-81.0,82,319.583255
-76.0,77,319.988273
-61.0,62,321.137213
-76.0,77,321.541373
-76.0,77,321.945563
-104.0,105,323.313016
-71.0,72,323.690081
-63.0,64,324.023707
-74.0,75,324.415452
-70.0,71,326.172782
-61.0,62,326.496264
-79.0,80,326.911011
-71.0,72,328.10269
