#{"t_start": 1637834842.1812131, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.68642
-500.0,500,9.581514
-500.0,500,15.61208
-304.0,305,18.551226
-237.0,238,20.274598
-155.0,156,21.724795
-188.0,189,23.286783
-158.0,159,24.560199
-169.0,170,26.093516
-180.0,181,27.791374
-268.0,269,30.316752
-119.0,120,30.877727
-109.0,110,32.093183
-123.0,124,32.689501
-96.0,97,34.029494
-152.0,153,35.254485
-126.0,127,36.630177
-104.0,105,37.129388
-125.0,126,38.551531
-98.0,99,39.020929
-75.0,76,39.376505
-77.0,78,40.819456
-144.0,145,41.527963
-98.0,99,42.68133
-109.0,110,43.188702
-93.0,94,43.61972
-95.0,96,44.751025
-76.0,77,45.53761
-93.0,94,45.971555
-94.0,95,47.177438
-96.0,97,47.658678
-84.0,85,48.082661
-85.0,86,49.333166
-103.0,104,49.838311
-104.0,105,51.664081
-203.0,204,52.61885
-76.0,77,53.662561
-92.0,93,54.092014
-68.0,69,54.41414
-62.0,63,55.408464
-88.0,89,56.273096
-90.0,91,56.700879
-100.0,101,57.846199
-78.0,79,58.21007
-91.0,92,58.644921
-71.0,72,59.664503
-87.0,88,60.071746
-72.0,73,60.418345
-86.0,87,61.911803
-76.0,77,62.27001
-107.0,108,62.769629
-64.0,65,63.787177
-63.0,64,64.081192
-63.0,64,64.385755
-63.0,64,64.681961
-154.0,155,66.545347
-93.0,94,66.977171
-80.0,81,68.036882
-89.0,90,68.463253
-80.0,81,68.840294
-98.0,99,69.995043
-99.0,100,70.45961
-81.0,82,71.442448
-155.0,156,72.865375
-62.0,63,73.158877
-76.0,77,74.199765
-70.0,71,74.523927
-93.0,94,74.954471
-76.0,77,75.993849
-93.0,94,76.826052
-86.0,87,77.225173
-79.0,80,78.288842
-71.0,72,78.637847
-61.0,62,78.926913
-157.0,158,80.517489
-77.0,78,80.934068
-63.0,64,81.651344
-89.0,90,82.788016
-70.0,71,83.136067
-62.0,63,83.446187
-146.0,147,84.821877
-81.0,82,85.197887
-86.0,87,85.620413
-71.0,72,87.060059
-72.0,73,87.394961
-71.0,72,87.722031
-88.0,89,88.817143
-62.0,63,89.106027
-77.0,78,89.465518
-74.0,75,89.809709
-131.0,132,91.10098
-82.0,83,91.86618
-90.0,91,92.96791
-81.0,82,93.344402
-63.0,64,93.635818
-71.0,72,93.96612
-79.0,80,95.01388
-80.0,81,95.38891
-76.0,77,95.74128
-99.0,100,97.270953
-63.0,64,97.563626
-159.0,160,98.982048
-78.0,79,99.3484
-74.0,75,99.693058
-62.0,63,99.98321
-74.0,75,101.010942
-84.0,85,101.836823
-70.0,71,102.162704
-89.0,90,103.257669
-156.0,157,103.979123
-62.0,63,104.953711
-76.0,77,105.315977
-70.0,71,105.640959
-75.0,76,106.359864
-64.0,65,107.343484
-87.0,88,107.750632
-75.0,76,108.10542
-81.0,82,109.166678
-74.0,75,109.511109
-101.0,102,109.981077
-63.0,64,110.969184
-70.0,71,111.655193
-92.0,93,112.08539
-143.0,144,113.436444
-74.0,75,113.782942
-63.0,64,114.079007
-79.0,80,115.131629
-95.0,96,115.585794
