#{"t_start": 1637834842.1794796, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.68786
-500.0,500,9.582967
-443.0,444,15.354815
-349.0,350,18.499076
-170.0,171,19.920128
-170.0,171,21.422863
-164.0,165,22.202088
-200.0,201,24.336694
-181.0,182,25.927223
-172.0,173,27.594634
-105.0,106,28.093709
-171.0,172,30.16803
-114.0,115,30.704872
-95.0,96,31.857288
-93.0,94,32.298631
-89.0,90,32.75583
-107.0,108,34.133226
-132.0,133,35.255898
-117.0,118,36.589392
-105.0,106,37.089345
-114.0,115,38.448268
-95.0,96,38.91994
-93.0,94,39.358796
-143.0,144,41.109522
-88.0,89,41.556986
-75.0,76,42.604996
-101.0,102,43.075302
-84.0,85,43.465718
-112.0,113,44.673942
-88.0,89,45.092614
-104.0,105,46.001247
-104.0,105,47.264367
-82.0,83,47.669444
-109.0,110,49.059458
-85.0,86,49.466659
-106.0,107,49.978621
-89.0,90,51.739781
-91.0,92,52.170745
-78.0,79,52.536931
-84.0,85,53.618191
-92.0,93,54.047406
-96.0,97,54.498477
-94.0,95,55.643517
-90.0,91,56.516207
-160.0,161,57.94353
-90.0,91,58.36553
-91.0,92,59.485754
-89.0,90,59.901225
-62.0,63,60.19175
-77.0,78,60.957845
-75.0,76,62.005998
-92.0,93,62.436426
-134.0,135,63.779084
-61.0,62,64.064346
-132.0,133,64.688246
-87.0,88,65.812741
-94.0,95,66.679854
-80.0,81,67.052684
-138.0,139,68.387829
-89.0,90,68.808391
-62.0,63,69.797023
-90.0,91,70.21853
-160.0,161,72.268981
-65.0,66,72.57496
-77.0,78,72.93931
-83.0,84,73.326087
-83.0,84,74.398214
-71.0,72,74.726857
-108.0,109,75.226803
-84.0,85,76.702151
-76.0,77,77.056109
-73.0,74,77.397184
-87.0,88,78.507593
-154.0,155,79.273212
-73.0,74,80.430694
-74.0,75,80.817795
-83.0,84,81.647778
-88.0,89,82.779176
-137.0,138,83.457149
-93.0,94,83.890704
-74.0,75,84.93299
-81.0,82,85.320908
-75.0,76,85.681069
-81.0,82,87.166624
-81.0,82,87.54153
-89.0,90,87.953467
-94.0,95,89.075454
-81.0,82,89.453262
-78.0,79,89.81587
-98.0,99,90.955264
-83.0,84,91.72294
-63.0,64,92.019746
-75.0,76,93.051837
-73.0,74,93.391086
-89.0,90,93.803651
-89.0,90,94.89666
-91.0,92,95.321702
-64.0,65,95.618937
-87.0,88,97.092707
-107.0,108,97.588166
-62.0,63,97.877738
-94.0,95,98.99736
-109.0,110,99.505605
-64.0,65,99.805781
-93.0,94,100.921557
-77.0,78,101.712255
-77.0,78,102.072766
-93.0,94,103.18592
-69.0,70,103.507885
-86.0,87,103.907789
-61.0,62,104.877495
-71.0,72,105.208278
-76.0,77,105.569119
-131.0,132,107.228081
-73.0,74,107.571382
-81.0,82,107.953665
-99.0,100,109.098948
-71.0,72,109.430222
-79.0,80,109.798938
-79.0,80,110.861578
-148.0,149,111.905748
-61.0,62,112.191951
-70.0,71,113.206663
-74.0,75,113.552894
-71.0,72,113.886627
-74.0,75,114.231306
-75.0,76,115.270597
-74.0,75,115.623647
-64.0,65,116.28159
-77.0,78,117.316965
-90.0,91,117.731981
-108.0,109,118.230846
-87.0,88,119.310563
-94.0,95,119.745805
-61.0,62,120.031852
-86.0,87,121.47823
-69.0,70,121.799412
-62.0,63,122.088851
-186.0,187,123.640127
-73.0,74,123.98385
-93.0,94,125.19976
-70.0,71,125.549139
-68.0,69,126.221723
-85.0,86,127.359813
-86.0,87,127.81202
-62.0,63,128.114667
-93.0,94,128.589219
-79.0,80,129.721795
-73.0,74,130.099927
-74.0,75,130.46877
-71.0,72,132.058833
-80.0,81,132.479519
-75.0,76,132.867881
-86.0,87,133.996587
-78.0,79,134.384556
-118.0,119,134.976494
