#{"t_start": 1637834842.1654904, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.698881
-500.0,500,9.594117
-479.0,480,15.533456
-478.0,479,19.904748
-218.0,219,21.642021
-168.0,169,23.109965
-130.0,131,23.734813
-206.0,207,25.944554
-156.0,157,27.528627
-140.0,141,28.197817
-109.0,110,29.391664
-124.0,125,30.568101
-103.0,104,31.051361
-121.0,122,32.329305
-130.0,131,33.03052
-124.0,125,34.458216
-132.0,133,35.562254
-132.0,133,36.961651
-108.0,109,37.556608
-117.0,118,38.871807
-109.0,110,39.384819
-98.0,99,40.926259
-255.0,256,42.841559
-81.0,82,43.220564
-102.0,103,43.692116
-89.0,90,44.797513
-86.0,87,45.628812
-104.0,105,46.861682
-79.0,80,47.258921
-87.0,88,47.690308
-92.0,93,48.995893
-63.0,64,49.299989
-122.0,123,49.89346
-149.0,150,51.93611
-97.0,98,52.388835
-79.0,80,53.449557
-73.0,74,53.792743
-91.0,92,54.21577
-89.0,90,55.337999
-87.0,88,55.747519
-70.0,71,56.527799
-86.0,87,57.614144
-81.0,82,57.99193
-87.0,88,58.400061
-82.0,83,58.791173
-85.0,86,59.876475
-96.0,97,60.332312
-97.0,98,61.878509
-63.0,64,62.176273
-93.0,94,62.611134
-91.0,92,63.752952
-82.0,83,64.13598
-89.0,90,64.561289
-64.0,65,65.563669
-77.0,78,66.373358
-80.0,81,66.741899
-69.0,70,67.064063
-93.0,94,68.184815
-79.0,80,68.565814
-135.0,136,69.892163
-78.0,79,70.259152
-91.0,92,71.276578
-69.0,70,72.313787
-94.0,95,72.753226
-98.0,99,73.21365
-75.0,76,74.24966
-99.0,100,74.70653
-81.0,82,75.083293
-93.0,94,76.598504
-99.0,100,77.058499
-179.0,180,78.598175
-79.0,80,78.972799
-69.0,70,79.341164
-63.0,64,80.447406
-89.0,90,80.917611
-75.0,76,81.698633
-124.0,125,83.007995
-74.0,75,83.379022
-86.0,87,83.782115
-86.0,87,84.881175
-69.0,70,85.201983
-74.0,75,85.569737
-148.0,149,87.362644
-76.0,77,87.712239
-87.0,88,88.80236
-84.0,85,89.192938
-76.0,77,89.54703
-79.0,80,89.913925
-75.0,76,90.948428
-86.0,87,91.730015
-90.0,91,92.151022
-98.0,99,93.288624
-80.0,81,93.658372
-80.0,81,94.030021
-77.0,78,95.0693
-91.0,92,95.494045
-95.0,96,97.002046
-76.0,77,97.357893
-89.0,90,97.768259
-89.0,90,98.866096
-81.0,82,99.24338
-92.0,93,99.67403
-77.0,78,100.717454
-77.0,78,101.075217
-152.0,153,102.212925
-83.0,84,103.280934
-71.0,72,103.610629
-102.0,103,104.086308
-80.0,81,105.142217
-89.0,90,105.562313
-62.0,63,106.213464
-90.0,91,107.323986
-98.0,99,107.783672
-72.0,73,108.123489
-87.0,88,109.212426
-70.0,71,109.53814
-77.0,78,109.898235
-69.0,70,110.914359
-69.0,70,111.595298
-70.0,71,111.922211
-172.0,173,113.408171
