#{"t_start": 1637834842.1839871, "env_id": "Acrobot-v1"}
r,l,t
-500.0,500,3.684211
-500.0,500,9.579309
-500.0,500,15.609844
-291.0,292,17.685725
-246.0,247,20.253225
-178.0,179,21.811051
-189.0,190,23.379346
-178.0,179,25.430053
-138.0,139,26.135672
-161.0,162,27.741243
-123.0,124,28.317001
-134.0,135,30.218986
-162.0,163,30.980837
-108.0,109,32.193497
-118.0,119,32.810875
-130.0,131,34.28729
-128.0,129,35.383669
-203.0,204,37.121654
-119.0,120,38.506242
-119.0,120,39.083745
-126.0,127,40.35505
-103.0,104,41.237962
-78.0,79,41.640194
-104.0,105,42.821134
-80.0,81,43.195767
-89.0,90,43.608217
-77.0,78,44.656358
-102.0,103,45.562841
-84.0,85,45.955069
-91.0,92,47.143496
-75.0,76,47.533369
-126.0,127,48.998012
-86.0,87,49.409238
-91.0,92,49.854791
-84.0,85,51.561631
-77.0,78,51.957198
-91.0,92,52.382535
-77.0,78,53.434117
-88.0,89,53.845615
-92.0,93,54.278168
-79.0,80,55.350986
-71.0,72,55.685861
-70.0,71,56.464703
-82.0,83,56.85493
-122.0,123,58.102298
-89.0,90,58.517107
-77.0,78,59.575201
-84.0,85,59.966536
-70.0,71,60.302022
-67.0,68,61.013698
-91.0,92,62.137643
-62.0,63,62.427858
-95.0,96,62.874029
-72.0,73,63.927343
-76.0,77,64.286155
-88.0,89,64.703848
-75.0,76,65.770609
-74.0,75,66.547746
-135.0,136,67.860154
-98.0,99,68.318241
-102.0,103,68.804642
-62.0,63,69.793279
-108.0,109,70.30086
-79.0,80,71.261805
-100.0,101,72.441982
-63.0,64,72.737705
-79.0,80,73.110689
-71.0,72,74.128564
-95.0,96,74.567687
-93.0,94,74.998131
-87.0,88,76.087512
-66.0,67,76.796276
-61.0,62,77.079944
-82.0,83,77.461788
-70.0,71,78.493781
-81.0,82,78.881716
-75.0,76,79.274305
-82.0,83,80.476435
-75.0,76,80.873773
-74.0,75,81.654016
-76.0,77,82.72468
-83.0,84,83.138683
-85.0,86,83.554728
-70.0,71,83.882132
-82.0,83,84.961243
-97.0,98,85.432003
-77.0,78,85.844056
-76.0,77,87.254228
-102.0,103,87.724358
-63.0,64,88.018475
-84.0,85,89.094413
-73.0,74,89.435719
-74.0,75,89.779557
-94.0,95,90.900649
-79.0,80,91.650193
-90.0,91,92.071377
-102.0,103,93.226171
-82.0,83,93.605958
-75.0,76,93.954554
-75.0,76,94.983773
-60.0,61,95.26597
-91.0,92,95.688562
-72.0,73,97.09369
-70.0,71,97.420143
-99.0,100,97.878689
-67.0,68,98.873546
-92.0,93,99.304392
-76.0,77,99.658524
-80.0,81,100.715937
-76.0,77,101.068857
-86.0,87,101.903496
-75.0,76,102.252693
-98.0,99,103.389819
-73.0,74,103.728147
-70.0,71,104.056653
-64.0,65,105.038057
-71.0,72,105.377925
-96.0,97,105.824859
-101.0,102,107.34586
-94.0,95,107.787901
-59.0,60,108.06585
-75.0,76,109.099791
-79.0,80,109.4676
-63.0,64,109.761104
-69.0,70,110.086791
-86.0,87,111.538178
-110.0,111,112.050332
-81.0,82,113.115643
-82.0,83,113.498355
-81.0,82,113.878091
-61.0,62,114.163654
-94.0,95,115.296485
-72.0,73,115.63372
-68.0,69,116.310132
-82.0,83,117.367806
-76.0,77,117.71894
-70.0,71,118.045004
-87.0,88,119.122661
-60.0,61,119.403033
-87.0,88,119.80837
-79.0,80,120.859985
-74.0,75,121.565731
-79.0,80,121.933204
-104.0,105,123.099959
-70.0,71,123.430324
-96.0,97,123.881715
-71.0,72,124.236894
-81.0,82,125.398169
-64.0,65,125.697019
-69.0,70,126.413012
-71.0,72,127.462172
-92.0,93,127.927566
-81.0,82,128.33781
-94.0,95,129.55618
-83.0,84,129.979548
-70.0,71,130.317692
-82.0,83,131.963321
-85.0,86,132.41646
-96.0,97,132.905615
-85.0,86,134.029894
-79.0,80,134.426595
-79.0,80,134.820071
-91.0,92,135.94506
-70.0,71,136.269761
-63.0,64,136.924438
-73.0,74,137.264259
-69.0,70,138.327338
-74.0,75,138.71501
-62.0,63,139.029058
-70.0,71,140.212001
-72.0,73,140.574293
-75.0,76,140.925085
-75.0,76,141.281519
-75.0,76,142.718626
-70.0,71,143.063738
-79.0,80,143.436749
-89.0,90,144.693629
-70.0,71,145.046442
-63.0,64,145.371037
-78.0,79,145.739738
-120.0,121,147.35428
-71.0,72,147.68219
-83.0,84,148.744227
-73.0,74,149.084261
-84.0,85,149.480932
-92.0,93,150.597279
-84.0,85,150.988101
-82.0,83,151.369056
-77.0,78,152.147689
-70.0,71,153.148475
-80.0,81,153.519479
-69.0,70,153.842088
-154.0,155,155.226103
-70.0,71,155.557603
-71.0,72,156.566391
-64.0,65,157.246662
-75.0,76,157.595609
-69.0,70,157.91746
-77.0,78,159.105619
-79.0,80,159.518332
-72.0,73,159.881897
-70.0,71,160.927664
-71.0,72,161.259528
-82.0,83,161.641593
-103.0,104,163.220487
-69.0,70,163.542536
-60.0,61,163.822069
-68.0,69,164.139384
-100.0,101,165.286353
-76.0,77,165.646539
-68.0,69,165.963836
-156.0,157,167.79912
-87.0,88,168.202081
-146.0,147,169.549614
-82.0,83,169.931699
-75.0,76,170.282984
-75.0,76,171.304294
-63.0,64,171.594305
-79.0,80,172.37536
-70.0,71,173.418028
-85.0,86,173.816112
-89.0,90,174.261888
-84.0,85,175.421493
-89.0,90,175.847124
-69.0,70,176.241637
-124.0,125,178.53106
-76.0,77,179.009984
-70.0,71,179.403136
-70.0,71,180.612956
-81.0,82,181.070458
-71.0,72,181.452666
-78.0,79,181.880196
-70.0,71,183.125322
-94.0,95,184.029871
-70.0,71,184.402882
-86.0,87,185.70139
-60.0,61,186.048801
-82.0,83,186.485427
-76.0,77,187.696029
-75.0,76,188.092955
-96.0,97,188.593539
-94.0,95,190.740724
-70.0,71,191.241391
-72.0,73,191.730101
-75.0,76,193.138601
-90.0,91,193.635873
-75.0,76,194.037848
-87.0,88,195.339856
-83.0,84,195.781108
-70.0,71,196.67129
-82.0,83,197.103176
-76.0,77,198.3072
-72.0,73,198.685523
-73.0,74,199.07169
-79.0,80,200.329313
-72.0,73,200.708683
-72.0,73,201.090777
-69.0,70,202.021969
-135.0,136,203.527604
-76.0,77,203.93191
-80.0,81,205.161988
-62.0,63,205.494033
-63.0,64,205.823883
-127.0,128,207.351755
-71.0,72,208.201734
-73.0,74,208.586066
-167.0,168,210.290621
-77.0,78,210.700799
-75.0,76,211.099552
-79.0,80,212.319247
-72.0,73,212.699406
-71.0,72,213.500093
-71.0,72,214.680134
-71.0,72,215.059488
-76.0,77,215.473029
-71.0,72,215.848862
-93.0,94,217.200805
-88.0,89,217.667471
-69.0,70,218.035074
-70.0,71,219.645528
-61.0,62,219.966689
-62.0,63,220.299622
-76.0,77,221.501836
-88.0,89,221.965082
-71.0,72,222.34322
-168.0,169,224.026448
-92.0,93,224.926753
-70.0,71,225.309715
-75.0,76,226.649641
-85.0,86,227.097494
-71.0,72,227.471262
-71.0,72,228.700164
-70.0,71,229.076395
-82.0,83,229.507854
-63.0,64,230.298506
-71.0,72,231.482625
-62.0,63,231.877392
-80.0,81,232.38438
-71.0,72,233.788016
-64.0,65,234.197025
-77.0,78,234.68805
-69.0,70,235.13036
-70.0,71,236.532917
-76.0,77,237.544538
-128.0,129,239.179364
-88.0,89,239.645447
-62.0,63,239.976018
-62.0,63,240.310884
-186.0,187,242.116623
-71.0,72,242.94775
-73.0,74,244.15795
-80.0,81,244.586396
-71.0,72,244.963968
-71.0,72,246.158675
-91.0,92,246.643467
-63.0,64,246.982295
-92.0,93,248.278769
-71.0,72,248.655157
-87.0,88,249.590456
-63.0,64,249.925924
-76.0,77,251.145954
-63.0,64,251.483068
-85.0,86,251.93756
-63.0,64,253.08373
-110.0,111,253.663147
-73.0,74,254.451476
-79.0,80,255.703922
-70.0,71,256.077947
-76.0,77,256.489775
-62.0,63,256.826002
-71.0,72,258.012941
-74.0,75,258.406985
-64.0,65,258.750935
-70.0,71,259.121835
-85.0,86,260.982832
-71.0,72,261.362377
-92.0,93,261.847829
-71.0,72,263.073597
-63.0,64,263.406635
-64.0,65,263.743751
-83.0,84,264.995167
-71.0,72,265.378123
-79.0,80,266.248257
-75.0,76,266.651184
-88.0,89,267.927642
-71.0,72,268.306316
-86.0,87,268.763947
-86.0,87,270.063513
-63.0,64,270.411645
-72.0,73,270.870582
-72.0,73,272.712459
-76.0,77,273.196221
-81.0,82,273.70805
-71.0,72,275.11028
-71.0,72,275.562053
-71.0,72,276.011566
-74.0,75,276.480037
-90.0,91,277.78355
-240.0,241,280.315211
-67.0,68,280.671118
-75.0,76,281.106095
-90.0,91,282.405364
-71.0,72,282.792406
-90.0,91,283.270539
-63.0,64,284.233738
-88.0,89,285.521741
-75.0,76,285.921572
-71.0,72,286.301703
-82.0,83,287.691748
-83.0,84,288.216491
-70.0,71,288.660972
-94.0,95,290.0927
-98.0,99,291.143647
-75.0,76,291.540198
-71.0,72,292.728278
-90.0,91,293.209312
-61.0,62,293.533581
-72.0,73,294.73202
-73.0,74,295.131473
-76.0,77,295.544517
-62.0,63,296.28042
-94.0,95,297.63794
-60.0,61,297.975282
-146.0,147,299.563041
-70.0,71,299.936394
-74.0,75,300.352859
-104.0,105,301.7147
-86.0,87,302.619556
-86.0,87,303.087181
-70.0,71,304.273662
-95.0,96,304.78229
-80.0,81,305.209609
-63.0,64,305.552215
-83.0,84,306.819001
-76.0,77,307.221513
-71.0,72,308.038861
-82.0,83,309.353566
-71.0,72,309.732153
-76.0,77,310.140902
-73.0,74,311.346097
-62.0,63,311.673625
-62.0,63,312.00838
-76.0,77,312.412206
-71.0,72,313.598976
-94.0,95,314.54248
-83.0,84,314.986603
-93.0,94,316.300076
-88.0,89,316.760636
-87.0,88,317.214983
-62.0,63,318.395663
-71.0,72,318.772499
-74.0,75,319.699422
-70.0,71,320.074356
-88.0,89,321.363955
-64.0,65,321.703102
-140.0,141,323.260008
-70.0,71,323.632964
-500.0,500,328.444674
-70.0,71,328.814158
-76.0,77,329.239788
-94.0,95,330.579581
-72.0,73,331.378914
-74.0,75,331.788212
-80.0,81,333.012812
-82.0,83,333.43984
-83.0,84,333.872658
-71.0,72,335.054792
-62.0,63,335.380814
-70.0,71,335.746028
-71.0,72,336.594324
-81.0,82,337.825064
-75.0,76,338.218755
-80.0,81,338.636922
-63.0,64,339.787129
-71.0,72,340.207647
-63.0,64,340.538475
-75.0,76,340.932537
-70.0,71,342.105326
-131.0,132,343.253491
-72.0,73,344.442511
-86.0,87,344.88861
-61.0,62,345.214127
-70.0,71,345.588281
-82.0,83,346.836923
-73.0,74,347.218876
-79.0,80,348.021701
-63.0,64,349.368439
-75.0,76,349.761586
-87.0,88,350.219871
-69.0,70,350.583383
-62.0,63,351.786563
-61.0,62,352.105983
-70.0,71,352.48563
-72.0,73,353.674026
-69.0,70,354.518263
-70.0,71,354.900923
-70.0,71,355.269912
-93.0,94,356.565532
-70.0,71,356.937659
-81.0,82,357.366835
-82.0,83,358.635554
-76.0,77,359.051804
-70.0,71,359.85187
-70.0,71,361.044073
-82.0,83,361.475454
-70.0,71,361.869638
-102.0,103,363.21002
-98.0,99,363.716927
-75.0,76,364.112159
-89.0,90,365.387969
-70.0,71,366.177637
-61.0,62,366.499354
-81.0,82,366.920817
-92.0,93,368.208118
-70.0,71,368.572385
-88.0,89,369.030134
-74.0,75,370.224922
-63.0,64,370.55567
-86.0,87,371.580906
-63.0,64,372.712887
-71.0,72,373.088737
-92.0,93,373.5721
-70.0,71,373.942124
-80.0,81,375.158342
-63.0,64,375.488826
-101.0,102,376.031984
-85.0,86,377.780214
-95.0,96,378.304332
-62.0,63,378.628555
-70.0,71,379.796033
-79.0,80,380.213551
-75.0,76,380.605299
-88.0,89,381.862496
-111.0,112,382.950256
-105.0,106,383.496547
-70.0,71,384.667684
-71.0,72,385.039652
-71.0,72,385.421679
-84.0,85,386.716666
-80.0,81,387.158859
-195.0,196,389.439633
-71.0,72,389.815506
-71.0,72,390.192055
-70.0,71,391.390082
-63.0,64,391.726222
-74.0,75,392.120831
-70.0,71,392.494287
-72.0,73,393.730574
-92.0,93,394.641514
-90.0,91,395.178351
-74.0,75,396.590176
-107.0,108,397.2673
-63.0,64,397.667277
-82.0,83,399.053609
-84.0,85,399.495053
-62.0,63,399.813255
-88.0,89,401.471079
-63.0,64,401.801123
-71.0,72,402.171982
-81.0,82,402.595594
-82.0,83,403.807126
-62.0,63,404.130642
-64.0,65,404.491552
-87.0,88,405.744998
-62.0,63,406.448748
-108.0,109,407.009624
-73.0,74,408.179713
-74.0,75,408.567982
-62.0,63,408.898255
-83.0,84,409.355211
-70.0,71,410.513927
-93.0,94,411.008764
-97.0,98,411.931112
-63.0,64,413.045577
-73.0,74,413.426689
-86.0,87,413.881101
-86.0,87,415.160812
-85.0,86,415.612799
-70.0,71,415.9824
-63.0,64,417.106118
-118.0,119,418.128648
-88.0,89,418.603794
-93.0,94,419.876141
-62.0,63,420.202691
-71.0,72,420.622684
-73.0,74,421.800629
-78.0,79,422.210054
-90.0,91,423.140884
-71.0,72,423.5082
-73.0,74,424.681599
-70.0,71,425.09123
-82.0,83,425.529889
-70.0,71,426.683214
-122.0,123,427.315951
-71.0,72,427.682828
-69.0,70,429.253064
-62.0,63,429.574042
-91.0,92,430.045955
-91.0,92,431.356813
-63.0,64,431.693249
-88.0,89,432.148762
-63.0,64,432.482298
-88.0,89,433.723382
-83.0,84,434.545814
-84.0,85,434.981351
-71.0,72,436.197756
-87.0,88,436.742316
-70.0,71,437.120925
-69.0,70,438.287784
-91.0,92,438.757407
-63.0,64,439.088792
-73.0,74,440.827443
-109.0,110,441.515319
-84.0,85,441.97605
-64.0,65,443.12407
-72.0,73,443.507746
-63.0,64,443.839938
-70.0,71,444.20985
